index,80_1_github.com,80_2_github.com,80_3_github.com,80_4_github.com,80_5_github.com,80_6_github.com,80_7_github.com,80_8_github.com,80_9_github.com,80_10_github.com
1,-442.0,0.0,-48.0,-48.0,67.0,67.0,67.0,67.0,-48.0,-442.0
2,4550.88,-575.04,1372.32,4396.72,1434.6000000000001,2551.58,4433.16,2216.32,868.3800000000001,4601.2
3,11014.44,-142.08000000000004,8530.199999999999,14753.76,5460.2,6744.799999999998,13436.52,5484.96,5584.6399999999985,11837.4
4,18406.88,1097.1600000000017,15751.84,19740.64,16528.200000000026,18491.200000000004,18843.600000000002,10458.24,17305.76,18480.2
5,47386.64,10240.119999999999,25427.96,33104.52000000001,25802.200000000004,27566.4,60504.880000000005,18406.56,20920.72,50005.2
6,57675.6,18767.599999999995,39389.2,66608.4,58304.0,67256.7,58134.199999999975,21922.4,42276.20000000006,58051.0
7,59862.48,60018.32,45482.08,66602.88,69069.79999999999,69625.88,67195.96,34610.159999999996,68265.96,59526.600000000006
8,68570.56,56924.04,80012.24,76364.68000000004,72293.2,81279.62000000001,79998.04,51747.48,69212.84,70627.6
9,79330.16,63436.439999999995,81716.52,85322.48,79650.2,89894.64,84858.32,52736.880000000005,77046.04,78907.6
10,81695.68,75992.12,89718.92000000001,90085.76,90878.6,102064.4,90186.96,75783.72,87788.82,81784.2
11,86080.8,82351.40000000001,98239.00000000003,106575.00000000001,96287.0,115887.8,97769.2,84143.19999999997,90072.20000000004,88432.0
12,212661.88,89702.8,116579.68000000001,226422.64,144120.0000000001,157581.78,191599.63999999998,90487.76,99915.39999999998,122464.19999999992
13,269428.0,168647.63999999975,159807.16,286821.88,267430.8,176303.63999999998,282915.92000000016,99241.2,107563.24,252970.39999999962
14,284364.6,272386.16,158099.16,311788.16,347660.2,276037.63999999996,337911.64,129974.04,220073.36000000004,281826.60000000003
15,318180.32,327466.52,311202.59999999974,369131.3600000001,350239.00000000006,412138.91999999987,337944.08,136358.59999999995,333952.88,304731.0
16,332695.4,358845.6,372651.0,386788.0,376132.0,517085.80000000016,461391.19999999984,173452.0,346665.4,346958.0
17,358622.24,361525.44,411304.68,455227.6800000001,408289.6000000001,684660.6,531518.68,191320.8,390218.44000000024,396245.2
18,425201.76,373533.23999999993,460633.56,567688.84,494303.2000000002,734847.7999999999,588420.2,269912.44,594351.7200000001,410549.4
19,551667.24,502840.28,526127.76,658377.1199999996,572897.8000000002,803788.2000000001,642968.2399999999,384469.2,672941.9600000004,445340.7999999996
20,586364.04,665688.2000000002,687945.36,725782.64,675494.2000000001,893215.2799999999,825617.2,529941.16,898010.2400000003,480338.2
21,688954.0,773385.2000000004,818673.4000000001,781171.0,718073.0,1045112.2,879234.9999999999,558210.7999999999,962084.4,480888.0
22,910459.8799999994,801037.9600000004,866593.2,926942.72,803556.8,1110251.56,1069793.1999999997,726494.68,1016903.3,596171.0
23,1044610.2,1023383.16,968461.2000000001,1045206.64,885367.4,1194356.3199999998,1173380.08,840379.6,1058307.48,709599.5999999999
24,1123267.4399999992,1142348.6,1072656.8399999999,1124463.96,970412.0000000001,1393411.56,1290069.04,932298.28,1090363.62,796064.4
25,1207764.48,1169124.48,1161318.4,1141765.76,1191499.0000000002,1514953.24,1346113.36,937460.64,1099350.08,855444.9999999999
26,1303649.0,1197464.0,1294574.0,1307309.0,1272838.0,1698866.0,1457444.0,1002146.0,1230762.0,935867.0
27,1430937.8,1273733.2,1427712.5999999999,1420286.52,1391901.4000000001,1820053.32,1523300.64,1040684.9199999998,1397261.72,1069635.7999999996
28,1509100.12,1310432.3600000008,1551034.32,1525103.68,1493188.6,1882113.2399999993,1594210.2,1214441.2,1552607.72,1148348.2
29,1544183.56,1446512.1199999999,1593912.2399999993,1582022.52,1534676.8,2097830.7199999997,1661186.12,1324172.48,1666869.1600000001,1348132.8
30,1626568.04,1589094.6400000004,1737782.3200000005,1730524.9600000002,1617073.0,2260792.2800000003,1771201.2,1431635.32,1818439.4000000001,1446324.3999999992
31,1698796.9999999998,1653718.8000000012,1799062.3999999997,1787674.8,1741714.0,2403542.6000000006,1797889.6,1503762.6000000003,1896922.8,1590769.0
32,1829464.3199999998,1751438.2,1884267.4000000001,1796113.88,1815812.4,2574713.76,1893456.8,1577964.92,1935031.9200000002,1651744.2
33,1860096.92,1948149.9600000002,2008076.68,1876445.6400000001,1873991.6,2757805.92,2029613.48,1605800.56,2067146.0800000003,1759409.4
34,1954203.7999999998,2053426.6,2114193.6399999997,1936188.16,1938505.6,2762309.04,2162070.1999999997,1672390.96,2173172.6,1825305.8
35,2007585.0799999998,2200667.84,2204428.96,1995803.2,2143227.0,2855598.079999999,2248430.6,1753108.4,2247027.96,1929194.1999999995
36,2081248.9999999998,2296776.2,2360875.5999999996,2173879.2,2291936.0,3042262.399999999,2354335.4,1955767.0,2378664.6,2046927.0
37,2185239.1999999997,2384544.4000000004,2508629.4800000004,2273135.12,2450663.6000000006,3254216.6,2521881.8,2095165.4000000001,2461996.2399999998,2155202.5999999996
