index,87_1_myspace.com,87_2_myspace.com,87_3_myspace.com,87_4_myspace.com,87_5_myspace.com,87_6_myspace.com,87_7_myspace.com,87_8_myspace.com,87_9_myspace.com,87_10_myspace.com
1,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
2,33082.94,30227.319999999992,30129.16,31243.68,28007.22,30259.28,30067.2,27846.78,26391.32,29001.28
3,63401.32,211316.24,105206.84,123342.76,88269.48000000001,81856.88,54342.2,63784.44,131777.44000000003,64786.44
4,340343.76000000007,395930.96,307988.12,372950.31999999995,358860.38,368715.66,227078.79999999993,293299.94,332323.92000000004,361821.16
5,564015.28,545094.32,514884.31999999995,431067.32,488647.04,526079.64,458179.3999999996,465800.4,493528.68000000005,568450.44
6,696187.7,688611.4,687734.2,637252.2,685974.1,682648.3999999999,585624.0,558373.6000000003,680722.6,693130.4
7,940687.04,873863.12,840137.6,696571.36,760862.56,940945.6,702482.9999999999,698900.12,866884.4,901065.0800000001
8,1080870.92,1031096.7999999999,922578.64,925492.9599999997,958198.86,980907.02,954508.2,871323.7999999999,1041495.4400000001,1048913.96
9,1114938.6400000001,1077919.5599999998,1106894.68,1073588.16,1077407.68,1052973.96,1001493.6,1034450.64,1068422.1600000001,1116826.76
10,1474757.66,1218054.24,1248996.68,1081303.84,1092542.52,1251676.3599999999,1027980.0,1088870.48,1365813.48,1261037.52
11,1528203.6,1265377.4000000001,1260934.8,1207227.7999999998,1244150.0,1575249.2,1126821.0,1227919.4000000001,1408098.6,1386703.9999999993
12,1744956.9600000014,1338023.0399999989,1280861.96,1575996.48,1266732.02,1585413.82,1484113.9999999998,1267313.08,1560614.7200000004,1607291.12
13,1872922.8,1628665.36,1609827.2,1593104.52,1367058.2,1625727.36,1599281.8,1279607.04,1591886.76,1650560.36
14,1927610.04,1658910.36,1652977.5999999999,1627769.48,1608281.7,1737079.58,1615302.8,1608511.48,1611868.52,1892774.5199999998
15,1943375.28,1815227.04,1755458.0399999998,1660743.04,1656545.1199999999,1967816.8800000004,1754427.2,1662368.16,1734084.72,1972034.44
16,1971727.0000000002,2032030.6,1879315.4000000001,1763926.4,1772473.9,1988479.2,1969016.0,1788397.5999999999,1959237.6,2043022.2
17,2195699.2,2062259.52,2026273.08,1796919.76,1992270.28,2042978.68,1979593.8,1828473.08,2018098.7200000002,2061487.68
18,2257324.82,2088222.84,2087932.56,1849064.32,2051574.82,2065364.2,2047887.6,2055830.84,2047676.64,2115481.68
19,2387822.04,2134369.1999999997,2133501.4399999995,1866332.52,2075276.04,2118522.4,2070046.6,2072607.04,2076734.96,2139499.5999999996
20,2503704.06,2250291.8399999994,2166480.24,1901790.24,2093092.78,2146743.2399999993,2125137.4,2093017.26,2127789.12,2255571.12
21,2856531.8,2333889.6,2328923.199999999,2036488.8,2141903.7999999993,2252335.4,2143531.0,2145599.8,2149468.0,2346128.2
22,3039360.82,2411759.1599999988,2426950.48,2241955.68,2170114.58,2344435.9,2168892.6,2250821.14,2342834.48,2400448.68
23,3049537.68,2885086.44,2454687.84,2327431.08,2334899.12,2395692.3200000003,2335371.2,2320295.32,2367500.64,2549298.16
24,3061922.58,2902544.44,2473215.4399999995,2392832.48,2358781.34,2544068.88,2361573.8,2342639.3,2537013.6,2580257.76
25,3084609.92,2938921.64,2794605.7199999983,2413391.48,2532001.84,2794531.32,2428057.6,2389387.92,2559933.68,2597923.24
26,3105456.0,3078955.0,3067691.0,2558864.0,2922188.0,3072088.5,2566809.0,2543467.5,2586820.0,2622942.0
27,3141071.44,3129152.8,3084374.12,2571920.76,3073313.72,3090331.72,2598768.9999999995,2569489.88,2617028.88,2632557.48
28,3153220.12,3174485.04,3096980.04,2607761.48,3083398.44,3122476.24,2613212.4,2617681.62,2622359.76,2665404.24
29,3169667.72,3184108.92,3111131.2399999998,3063190.399999999,3112927.12,3138530.8,2636571.7999999993,2860112.28,2635575.52,2692995.6
