index,96_1_edition.cnn.com,96_2_edition.cnn.com,96_3_edition.cnn.com,96_4_edition.cnn.com,96_5_edition.cnn.com,96_6_edition.cnn.com,96_7_edition.cnn.com,96_8_edition.cnn.com,96_9_edition.cnn.com,96_10_edition.cnn.com
1,67.0,-442.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0
2,1465.4,1360.2,-113.0,1700.24,-193.76000000000073,1519.74,1340.6,1029.8799999999994,1671.2,1732.8
3,433.68000000000006,619.7600000000001,1551.0,803.3599999999999,1497.9600000000003,4865.12,564.8800000000001,1286.6399999999999,632.92,1120.8000000000002
4,4492.04,2221.08,1083.0,2391.38,563.5600000000007,4557.9800000000005,2701.04,2605.04,4649.4800000000005,2318.9000000000005
5,7014.72,4398.44,2649.0,4651.36,2558.1600000000003,7180.72,4423.72,4665.72,4659.76,4500.8
6,9262.599999999995,6981.4,4760.0,6739.0000000000055,4540.3,12576.400000000005,3320.5999999999995,4691.999999999998,10156.80000000001,4623.0
7,12775.92,6686.88,4231.0,14384.56,9723.4,18637.8,5649.92,6751.559999999998,17119.4,8487.399999999998
8,29453.84,13598.800000000001,6804.0,26742.26,9102.079999999998,25376.1,10388.16,8252.36,17769.16,8250.099999999999
9,38585.28,14413.399999999998,6866.0,27378.400000000005,21759.08,27856.680000000008,16094.839999999998,16711.959999999992,22181.4,9837.999999999996
10,40069.68,31726.040000000008,9707.0,29778.56000000001,20708.82,30488.04,34326.52,18692.52,24688.52,18718.799999999985
11,44183.0,39531.2,14802.0,30063.6,22134.6,42081.6,33471.00000000001,32464.999999999996,26241.600000000002,34734.0
12,69858.63999999996,38728.68,20677.0,42438.06,21824.72,47573.54000000002,36798.48,31607.36,27916.920000000002,41190.7
13,105226.48000000001,40136.32,40300.0,42285.520000000004,25929.72,54874.84,38990.159999999996,33103.64,30530.760000000006,41465.599999999984
14,172858.91999999998,44337.48,39975.0,53460.12,25848.78,91645.52000000002,40634.96,35276.36,40862.6,44408.4
15,178036.12,47011.76,38821.0,82335.92,52905.07999999999,107673.96000000002,51062.87999999995,36969.52,58704.28000000002,44155.200000000004
16,182506.6,72744.99999999999,43162.0,119025.6000000001,79746.4,154388.70000000004,67868.4,44364.8,72348.2,56070.0
17,189746.88,100153.8,45281.0,168103.04000000007,103220.43999999994,191274.2,99622.95999999999,82162.27999999994,82691.48,114637.79999999997
18,247844.56000000006,125936.04000000001,44813.0,239638.6,125226.4,219072.40000000002,116272.4,106890.92000000003,109076.52,158705.19999999992
19,266297.48,128312.6,46908.0,288181.44,158933.96,227684.32,156194.36000000004,142792.8,112374.84,197303.19999999995
20,280432.4,129144.19999999998,107065.0,290351.18,162699.14,247019.80000000002,201420.6,182259.5199999998,135357.32,261900.00000000003
21,316473.5999999999,144451.19999999998,142670.0,321877.80000000016,183342.8,252133.4,230395.00000000006,208997.59999999992,146956.00000000003,293453.0
22,383350.32,147464.8,182332.0,353329.72,201478.52,270993.2,265103.48,226881.28,160186.76,337900.39999999997
23,410719.08,164899.04,235540.0,383133.04,226678.47999999998,317615.4,299483.68,229754.36,197954.67999999996,343139.0
24,436313.32,171304.4,264610.0,402286.22,279679.8,348309.60000000003,302478.48,239158.52,228161.4,347693.0
25,460499.6000000001,205518.19999999998,289082.0,416213.0399999999,283932.75999999995,373038.04,315760.43999999994,239535.12,241982.2,421841.6
26,505522.0,228812.0,290850.0,439951.5,286255.0,398815.0,354755.0,238470.0,267683.0,443121.0
27,539933.36,268286.8,309237.0,459169.52,333902.6799999999,404642.68,408866.6799999998,249733.00000000003,298231.28,455952.39999999997
28,550764.56,309367.0400000001,365255.0,474952.60000000003,363497.04,421663.4,457418.04000000004,253428.12,302732.04,464054.4
29,566554.52,350829.59999999986,414604.0,495342.96,387560.35999999987,447308.16000000003,486201.95999999996,256265.24,336414.16000000003,466529.4
30,578113.1600000001,382336.48,450407.0,503041.2,396126.84,456377.22,492683.0,265950.84,355972.24,469288.89999999997
31,593252.2000000001,385932.5999999999,481647.0,543615.6,430934.0,467909.8,493998.0,266164.2,369637.2,471305.0
32,613402.08,404871.55999999994,488913.0,563672.66,472627.74,487837.1,502398.36,273867.19999999995,373500.28,515013.7999999997
33,633237.88,430764.67999999993,489029.0,573164.36,483863.4,496366.04,503801.76,284323.19999999995,386961.04,534183.6
34,665773.3200000002,449309.08,492257.0,587090.02,509727.5999999996,508580.8400000002,519432.8399999999,290944.08,396514.32,543918.4
35,714657.4,459175.08,495935.0,588369.84,544012.36,529395.4400000001,564505.08,322974.92000000004,407106.2,555783.5999999999
36,740431.4,469958.80000000005,532472.0,590172.1,548646.8,558227.4000000001,567070.2,343644.0,414346.8,566826.0
37,754039.68,508082.8,551864.0,593327.4,551481.68,594444.8800000001,578648.92,363872.79999999993,427617.32,584170.6
38,760461.96,542847.44,561361.0,611343.08,554095.6,621020.5200000001,585260.04,393213.12,441655.52,583558.0
39,772395.56,576685.3599999999,560482.0,627574.32,578576.48,651483.04,589281.32,394626.52,444198.39999999997,595401.4
40,774100.52,589035.72,579583.0,649235.8400000001,579259.96,709312.7600000002,590450.12,394640.32,464544.2,596706.3
41,780808.0,590578.6,587512.0,666404.4,581508.6,756485.2000000001,592173.2,397847.2,473028.80000000005,598463.0
42,782410.32,591258.92,588092.0,670505.42,582897.18,772961.96,614036.44,399060.16,481516.51999999996,628610.7
43,792872.04,593085.12,590201.0,679470.44,584504.92,774319.52,642080.7599999999,400731.24,500563.16000000003,629178.6
