,198_1_siteorigin.com,198_2_siteorigin.com,198_3_siteorigin.com,198_4_siteorigin.com,198_5_siteorigin.com,198_6_siteorigin.com,198_7_siteorigin.com,198_8_siteorigin.com,198_9_siteorigin.com,198_10_siteorigin.com,199_1_siteorigin.com,199_2_siteorigin.com,199_3_siteorigin.com,199_4_siteorigin.com,199_5_siteorigin.com,199_7_siteorigin.com,199_8_siteorigin.com,199_9_siteorigin.com,199_10_siteorigin.com,200_1_siteorigin.com,200_2_siteorigin.com,200_3_siteorigin.com,200_4_siteorigin.com,200_5_siteorigin.com,200_6_siteorigin.com,200_8_siteorigin.com,200_9_siteorigin.com,200_10_siteorigin.com,201_1_siteorigin.com,201_2_siteorigin.com,201_3_siteorigin.com,201_4_siteorigin.com,201_5_siteorigin.com,201_6_siteorigin.com,201_7_siteorigin.com,201_8_siteorigin.com,201_9_siteorigin.com,201_10_siteorigin.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,1462.2000000000005,1460.04,1572.1,1559.2200000000007,1511.76,1542.6999999999996,1414.22,1384.2,1500.84,1467.94,1467.94,1442.66,1419.0800000000006,1495.38,1484.46,1537.24,1458.46,1428.8000000000004,1506.3,3963.72,3692.639999999999,3914.16,3920.58,3824.28,952.1200000000008,3907.74,3933.48,3933.48,4440.0,4644.4,4584.8,4798.96,5270.0999999999985,5071.72,5051.8,5084.92,4719.84,5345.96
2,4106.2,3577.92,3746.64,4166.6399999999985,3996.239999999999,4116.8,3811.44,3970.2,3848.16,3567.12,3567.12,3601.68,4546.079999999999,3762.96,3622.320000000001,4123.16,3580.08,3223.3999999999987,3903.6000000000013,4801.120000000001,7470.679999999993,6892.28,6428.6,6421.64,4727.720000000001,6653.12,5986.079999999997,6243.079999999997,23115.6,8630.800000000001,10929.8,12072.92,11060.799999999996,10981.84,10981.6,9072.6,10749.92,12872.04
3,5607.599999999995,4926.04,5318.14,4265.959999999997,7102.04,4676.800000000001,5072.780000000002,5482.6,6369.519999999998,4861.44,4851.44,5061.38,6077.439999999991,4624.780000000002,4606.26,4521.08,5195.96,3971.56,4957.199999999999,7420.779999999998,10708.08,12502.84,11221.84,11112.04,22408.400000000005,9537.52,8820.04,9077.86,49029.60000000001,24804.399999999994,23345.60000000001,18280.44,19137.8,26422.16,22858.4,25815.76,38667.64,18313.36
4,8462.199999999999,8251.16,7368.680000000001,8287.32,10284.48,8452.0,7903.519999999998,4647.199999999998,10129.440000000002,8332.76,6135.76,6521.64,8414.92,7930.519999999998,8362.960000000001,8322.4,8404.360000000002,5169.3200000000015,6861.200000000006,15758.8,25113.28,16253.56,26706.2,26352.96,34713.12,24364.68,24781.64,24631.24,61056.6,54403.6,60166.6,34607.64,43142.6,32086.32,60524.8,60713.76,62006.52,31586.56
5,10251.0,7914.800000000001,8591.099999999999,10927.2,12755.4,11271.0,8149.0999999999985,8501.0,13067.4,7884.3,7874.3,8384.7,10579.6,7571.9000000000015,7753.299999999997,11109.8,8215.699999999999,6459.8,7896.5,27049.8,58834.2,18769.6,27286.59999999999,32560.4,54783.599999999984,27715.7,26898.200000000008,36553.400000000016,140709.0,67611.0,132774.0,66735.6,67060.0,64613.4,74606.0,132471.99999999994,189702.4,68505.6
6,21450.999999999996,10747.52,11115.72,24506.88,14530.559999999992,11505.599999999995,10979.12,7635.800000000001,13972.6,10754.84,10506.440000000002,9145.280000000004,15407.79999999999,10581.72,10618.8,11027.52,11010.48,8475.4,11148.6,53151.320000000036,65039.76,32746.96,57999.84,57530.44,58853.12,53761.4,56424.24,58204.8,155006.99999999994,137758.80000000005,155600.8,160430.52,120294.79999999971,137357.88,155722.80000000002,156388.56,285276.92,151390.19999999998
7,25578.6,19674.04,18885.28000000002,23083.24,15961.32,23034.300000000007,10881.22,10868.4,16175.88,19670.580000000013,24536.0,12936.0,23216.28,24081.74,23704.74,22837.68000000001,19066.64,8118.719999999998,23742.7,60513.62,68325.76000000001,38472.04,64189.24,68298.24,68921.80000000003,66347.18,62399.28,63737.42,221017.99999999988,169953.20000000027,247768.8,164630.63999999998,165223.5,165607.56,179015.0,235279.88,323110.72,217779.67999999982
8,30800.599999999966,24564.92,22972.72,26917.64,19353.96,38856.8,23632.04,22776.0,18669.92,22731.12,22909.64,23540.24,41243.96,22589.92,22513.64,22547.48,22791.76,10998.72,24869.6,68349.48,101783.31999999996,66670.68,71081.79999999994,68343.32,107337.6,75421.56,67354.72,68965.72,305243.19999999995,262057.8000000002,340218.8,249227.16,254256.8,167726.6,251660.4,278371.35999999987,410068.56,295445.16
9,59184.8,38157.84,36306.08,44337.82,32049.76,56460.3,22479.98,23320.8,21930.199999999993,34868.619999999995,27087.24,39062.76,56885.72,29931.920000000016,26533.04,29567.76,38534.16,11733.52,42104.3,78594.79999999999,174234.19999999998,78446.28,115610.46,114159.8,151490.2799999999,115030.66000000002,113609.24,110198.86,382532.6,341422.0,454959.6,348113.16,309053.3999999999,215559.4,370109.7999999997,419898.52,454579.12,333474.3200000001
