,14_1_www.b-tu.de,14_3_www.b-tu.de,14_4_www.b-tu.de,14_5_www.b-tu.de,14_6_www.b-tu.de,14_7_www.b-tu.de,14_8_www.b-tu.de,14_9_www.b-tu.de,14_10_www.b-tu.de,15_1_www.b-tu.de,15_2_www.b-tu.de,15_3_www.b-tu.de,15_4_www.b-tu.de,15_5_www.b-tu.de,15_6_www.b-tu.de,15_7_www.b-tu.de,15_8_www.b-tu.de,15_9_www.b-tu.de,15_10_www.b-tu.de,16_1_www.b-tu.de,16_2_www.b-tu.de,16_3_www.b-tu.de,16_4_www.b-tu.de,16_5_www.b-tu.de,16_6_www.b-tu.de,16_7_www.b-tu.de,16_8_www.b-tu.de,16_9_www.b-tu.de,16_10_www.b-tu.de,17_1_www.b-tu.de,17_2_www.b-tu.de,17_3_www.b-tu.de,17_4_www.b-tu.de,17_5_www.b-tu.de,17_6_www.b-tu.de,17_7_www.b-tu.de,17_8_www.b-tu.de,17_9_www.b-tu.de,17_10_www.b-tu.de
0,-442.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,0.0,67.0,67.0,0.0,67.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,0.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0,-442.0,67.0,67.0
1,1453.3,1632.36,395.40000000000083,442.24,1399.4,399.04,337.8,1360.2,424.48,-156.71999999999997,202.56,304.62,229.04,1338.38,-457.9199999999999,333.48,461.68000000000006,1551.3000000000004,1374.72,1648.16,1536.6,1487.6,324.8400000000001,1387.36,1328.9,1580.8,1594.12,321.48,102.51999999999941,1433.7,327.72,276.3999999999999,415.84,334.92,98.04000000000008,1583.76,1566.0,286.42,-297.0800000000001
2,883.56,619.7600000000001,1319.5999999999995,2176.52,729.5200000000003,259.44,271.6,619.7600000000001,2016.2000000000005,1573.1999999999996,1858.16,180.36000000000007,458.08,553.56,1409.48,-75.36000000000193,1396.84,1189.1600000000005,471.48000000000025,517.92,1143.32,990.5199999999996,465.23999999999984,349.2400000000002,529.8,1195.4,1159.76,1982.04,1296.92,825.56,382.9199999999999,1697.6,208.75999999999988,196.56000000000037,1779.76,1187.48,1235.0,262.8400000000005,1505.52
3,2331.98,2231.08,2975.2,1160.4599999999996,2193.16,1926.02,1982.9,3368.319999999999,1120.9200000000003,1266.84,1626.6799999999996,1817.34,1828.0799999999977,4508.14,619.7600000000001,1746.9200000000005,1066.92,2479.68,4611.04,2278.48,2466.36,2581.16,2023.4,4575.52,4433.8,1133.399999999997,280.48000000000025,1486.9399999999996,2472.14,2277.02,1935.2,914.4,1889.36,1685.1799999999994,3208.16,861.4799999999984,2493.0,1812.94,858.2399999999999
4,4347.64,4418.44,3822.600000000003,5408.84,4367.88,1139.88,1164.2,4418.44,4922.32,712.1200000000001,771.6800000000002,1216.9599999999996,1926.36,4549.08,2364.0400000000004,868.2799999999962,257.56,4596.24,5511.399999999998,4483.56,4578.48,4475.88,1565.5199999999998,6457.48,4505.4,4550.8,2306.92,753.2799999999962,4779.08,4323.64,1386.8399999999995,4864.2,2252.2400000000016,1412.1200000000006,4893.88,2438.639999999998,4614.0,1942.680000000001,2551.76
5,6396.4000000000015,6165.200000000002,4675.0,5216.999999999994,4400.999999999997,3444.800000000001,2883.5,5939.399999999999,4983.5999999999985,2396.5999999999995,2557.4000000000005,2856.0999999999995,1038.5999999999997,6588.6,4554.8,4167.599999999995,3096.399999999997,4398.300000000001,10413.8,7183.200000000002,4236.5999999999985,5263.000000000003,4880.800000000001,6110.2,6754.5,4469.0,4397.9000000000015,4887.9,6831.700000000002,6803.5999999999985,3900.400000000005,4905.0,5129.8,4847.399999999997,6794.800000000002,4453.2,4560.0,2957.7999999999993,4714.2
6,7008.919999999999,5695.84,6901.5999999999985,7671.32,13241.36,4946.04,5062.2,12945.68,7147.320000000002,4705.32,4728.92,5005.92,2896.76,8319.12,4365.96,4955.3200000000015,4548.88,6799.440000000001,14786.12,5784.640000000001,6683.88,6544.32,5117.96,10425.36,6931.600000000002,7181.8,6823.959999999999,4824.92,7907.519999999998,7113.28,4959.28,6928.2,4433.28,4761.279999999998,6624.52,7060.84,6915.0,4720.12,4642.24
7,8391.42,10753.519999999997,8406.199999999999,14603.46,12983.36,7665.08,7500.8,12858.36,9498.8,4587.64,4749.96,4621.1399999999985,4439.519999999999,14100.619999999995,6923.64,7169.56,4501.76,5956.620000000003,42075.92,15537.120000000004,8092.840000000004,8683.84,4606.92,21163.48,11340.3,6062.2,6739.2400000000025,7352.88,21050.84,7825.22,6583.200000000003,8722.4,6557.319999999998,7050.76,15190.08,7109.04,6183.0,5069.800000000007,7129.36
8,19557.04,20839.12,9982.000000000004,21445.16,14302.56,7695.96,6434.5999999999985,15880.08,21528.32,6979.680000000001,7283.96,7195.239999999999,4903.72,20721.96,7709.759999999997,7333.439999999995,6946.12,9293.599999999991,45158.84,21102.96,7341.559999999998,10995.200000000004,6349.600000000002,54554.24,21652.8,10030.8,8489.44,7655.8799999999965,51205.4,9524.28,7600.520000000004,14781.800000000007,8640.88,8103.52,22648.2,8645.28,7686.0,6951.84,7244.44
9,21138.800000000007,49845.2,21025.6,48024.58,16019.48,8485.539999999999,13571.90000000002,29305.72,33239.399999999885,6683.08,6835.52,8853.82,6975.720000000001,43675.599999999984,7926.44,11443.599999999982,6576.72,20886.08,46231.48,50575.92,20806.16,21376.48,17180.239999999998,56760.96000000001,51359.5,17359.59999999998,8791.599999999997,10319.38,67861.04000000001,9956.52,8623.32,21119.800000000007,10427.04,15428.399999999998,52762.32,11459.799999999992,21184.0,8846.62,6344.56
