,258_1_www.samsung.com,258_2_www.samsung.com,258_3_www.samsung.com,258_4_www.samsung.com,258_5_www.samsung.com,258_6_www.samsung.com,258_7_www.samsung.com,258_8_www.samsung.com,258_9_www.samsung.com,258_10_www.samsung.com,259_1_www.samsung.com,259_2_www.samsung.com,259_3_www.samsung.com,259_5_www.samsung.com,259_6_www.samsung.com,259_7_www.samsung.com,259_9_www.samsung.com,259_10_www.samsung.com,260_1_www.samsung.com,260_2_www.samsung.com,260_3_www.samsung.com,260_4_www.samsung.com,260_5_www.samsung.com,260_6_www.samsung.com,260_7_www.samsung.com,260_8_www.samsung.com,260_9_www.samsung.com,260_10_www.samsung.com,261_1_www.samsung.com,261_2_www.samsung.com,261_3_www.samsung.com,261_4_www.samsung.com,261_5_www.samsung.com,261_6_www.samsung.com,261_7_www.samsung.com,261_8_www.samsung.com,261_9_www.samsung.com,261_10_www.samsung.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,3554.16,4793.24,4142.5,5065.14,4138.0,4100.9,5636.14,6379.4000000000015,1033.56,4110.44,3570.200000000001,4062.52,3243.800000000001,2976.7999999999993,1974.0000000000007,1462.2000000000005,3509.0000000000005,4115.84,5116.800000000002,3821.56,4119.98,5643.5,3798.1200000000013,3889.68,5220.52,3604.92,3564.96,8079.0,4053.92,1365.1799999999996,2521.400000000001,5171.799999999998,3672.200000000001,3304.9999999999986,1941.7999999999988,4119.28,1300.5,4011.24
2,8666.68,16271.600000000002,8031.0,17714.44,10139.0,8351.4,7927.7199999999975,21164.8,4708.48,8478.84,5082.08,6833.36,4789.04,5361.32,5009.2,4106.2,5100.2,4704.839999999998,33083.60000000001,8466.68,9823.56,17534.0,8491.36,8511.76,17826.56,6310.6399999999985,6007.08,53169.0,4543.44,5300.080000000003,4137.56,17609.0,5108.16,5259.5999999999985,6217.32,4728.280000000002,5085.0,4460.56
3,17805.88,120027.84,17727.5,116773.92,13939.0,43478.00000000008,36571.60000000001,181801.1999999998,9609.32,32840.439999999995,8296.939999999999,10259.559999999998,8093.46,8387.78,8104.8,5694.599999999995,8369.599999999999,8281.22,55866.1,17171.4,15942.58,52486.0,17168.800000000007,17810.6,52760.68,18006.12,17379.28,208726.0,8338.740000000002,6519.82,8595.16,48409.8,8003.24,8645.6,7017.28,8267.74,6147.0,8095.2599999999975
4,59394.0,249601.24,122541.0,223005.04,25335.0,161404.20000000007,119443.16,208107.4,27914.560000000063,125732.08000000002,14447.4,13810.88,17555.12,11075.199999999995,15857.000000000005,8545.199999999999,14505.0,17522.4,191865.6,52769.36,25053.6,141723.0,53291.32,52420.36,57003.24,54098.16,53275.08,472231.0,17167.6,8725.32,14461.200000000008,86704.4,12774.96,17432.999999999993,9861.199999999997,17536.8,8235.0,17710.12
5,154984.8000000002,321297.6,164563.0,230097.0,99323.0,202847.0,158275.70000000016,379046.0,160027.00000000006,164806.40000000008,35974.80000000002,23586.0,53043.20000000001,17383.0,53954.0,17937.0,42893.0,54191.9,354987.0,56861.7,60094.8,326424.0,71666.60000000005,57400.4,162250.20000000007,57962.199999999924,52297.8,757232.0,47908.3,17793.4,18718.000000000004,230863.0,12971.8,26869.0,18534.0,48672.1,17360.0,48131.00000000002
6,198547.56000000008,511452.52000000025,236939.0,338408.96,219175.0,239022.4,273550.36000000004,511552.99999999977,266926.28,195999.52,53813.24,62407.0,54343.44000000001,53843.28,54671.6,20516.79999999998,53310.6,54698.36,581143.8,145769.56000000008,62234.16,468971.0,84026.40000000002,98477.6,310699.36,146207.88000000006,57929.96,954049.0,48686.76,35780.76000000002,47843.68,396165.80000000034,24969.8,47641.0,48887.36,46783.92000000001,48196.0,67854.68000000001
7,245001.52,769495.92,300215.0,543092.08,355735.0,342404.1,412555.68000000005,807452.1999999998,368648.4800000002,300200.96,54789.96,62632.88000000001,55761.94,54295.08,55537.8,54158.8,56172.8,63939.28000000003,725523.3999999998,232380.4,87434.27999999993,603037.5,209150.54,268817.96,454681.18000000005,200009.8,133843.15999999995,1168218.0,50375.35999999999,47891.88,66767.72,560076.2000000003,56371.76,63042.99999999995,50009.32,50430.52,47205.5,104279.66
8,316737.72,880630.64,418547.0,743817.32,406472.0,467911.4000000001,535215.4800000002,1037842.4,533849.6800000003,410282.28,72977.8,63949.84,99344.24000000006,55983.72,127169.60000000002,54960.4,57627.00000000001,119292.48,948718.4,361752.96,239185.64,774078.0,299930.1600000002,419768.12,637527.04,239120.2,259806.08,1277542.0,54752.79999999999,49756.72000000008,100460.28,667194.0,70675.92,84333.4,51070.48,55431.76,50142.0,171783.48
9,474359.4800000002,1031968.28,543797.0,982200.6,510295.0,647496.2000000003,655129.9,1184717.1,613556.34,568680.9199999999,108575.12000000004,69621.68000000001,147788.1,62408.84,213822.0000000001,56344.4,109411.00000000007,160228.12000000002,1041533.2,478227.32000000007,364149.36,996006.0,403654.6,532345.5199999998,779448.74,383912.12000000005,302767.36,1476668.0,150014.59999999995,115742.52000000006,163476.92,768606.0,107543.12,186865.19999999995,69694.88,107001.72,51421.5,225177.44
10,631765.6000000003,1132870.0,630235.0,1161591.8,675272.0,807067.0,811016.0,1347463.0,771310.4000000001,657311.4,169150.00000000006,130181.0,235419.4000000001,96853.8,291537.0,57203.0,184491.0,250555.00000000012,1135999.0,542374.2,436275.6,1046186.0,558344.8,658444.3999999999,1038183.2,476235.0,383773.8,1636848.0,238277.2,210083.8,267420.2000000001,796629.0,174941.8,244085.0,106771.79999999994,132495.99999999994,94203.0,308413.2
11,800153.36,1203323.4,704321.0,1365321.7599999998,819736.0,995494.6,988825.56,1475198.1,928976.16,783046.36,211052.94000000003,229493.55999999997,256493.16,176850.55999999988,386961.00000000006,61743.99999999999,273422.8,332014.66,1340967.9,620477.52,578587.4400000002,1100734.5,584852.14,778375.82,1042516.72,572057.7,462926.6399999999,1825438.0,305806.14,246508.22,395333.52,803200.6000000002,222785.08,315438.19999999984,147938.75999999983,180041.88,169321.0,422171.52000000025
12,942085.56,1388477.36,862760.0,1412774.12,957604.0,1130772.2,1133506.64,1516727.7999999996,1086304.48,896722.6,296400.88,357495.96,333872.12000000005,256794.68,440624.6,114768.2,353525.4000000001,434796.24,1342607.2,706861.6000000002,633851.9199999999,1198497.0,718334.6400000001,971366.36,1141141.32,593869.1200000001,575731.88,2084876.0,428990.1599999997,304352.36000000004,503481.48,932449.2000000008,271665.16,369965.3999999996,224072.08,256736.88,260902.0,515323.04
13,1087711.04,1416394.56,1008891.5,1573746.88,1084721.0,1228286.2,1207464.24,1608182.2,1130372.34,1035448.52,371772.98,490858.04,466831.3599999999,332558.4,516146.00000000023,184629.2,451396.2000000003,440154.34,1444267.6,799151.2000000002,755120.6799999998,1314195.5,836601.22,1037864.78,1196267.78,665086.9199999999,607645.64,2379604.0,533968.14,363790.64000000025,508589.76,1130491.3,379539.68,498157.0,310052.44,325021.87999999995,291917.0,518246.2
