,338_1_www.mindmeister.com,338_2_www.mindmeister.com,338_3_www.mindmeister.com,338_4_www.mindmeister.com,338_5_www.mindmeister.com,338_6_www.mindmeister.com,338_7_www.mindmeister.com,338_8_www.mindmeister.com,338_9_www.mindmeister.com,338_10_www.mindmeister.com,339_1_www.mindmeister.com,339_2_www.mindmeister.com,339_3_www.mindmeister.com,339_4_www.mindmeister.com,339_5_www.mindmeister.com,339_7_www.mindmeister.com,339_8_www.mindmeister.com,339_9_www.mindmeister.com,339_10_www.mindmeister.com,340_1_www.mindmeister.com,340_2_www.mindmeister.com,340_3_www.mindmeister.com,340_4_www.mindmeister.com,340_5_www.mindmeister.com,340_6_www.mindmeister.com,340_7_www.mindmeister.com,340_8_www.mindmeister.com,340_9_www.mindmeister.com,340_10_www.mindmeister.com,341_1_www.mindmeister.com,341_2_www.mindmeister.com,341_4_www.mindmeister.com,341_5_www.mindmeister.com,341_6_www.mindmeister.com,341_7_www.mindmeister.com,341_8_www.mindmeister.com,341_9_www.mindmeister.com,341_10_www.mindmeister.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,-442.0,102.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,825.0,-442.0,-442.0,-442.0,1539.0
1,5204.44,4112.56,3692.639999999999,4131.64,5222.62,4912.92,5070.76,3587.64,4680.56,3560.64,4471.88,5107.98,5306.080000000001,4891.6,5276.12,5184.38,5080.18,4205.4,4868.4,6664.840000000005,6871.68,5418.76,10283.0,8157.079999999999,8437.84,8478.5,8629.56,8082.46,8080.18,6703.76,5429.279999999996,5004.68,6540.04,4547.2,8355.2,6590.8,4395.6399999999985,3583.160000000001
2,12750.600000000008,8406.64,7476.679999999993,8229.199999999999,12303.8,10948.99999999999,15668.88,7637.879999999999,15402.72,7762.879999999999,15112.36,13687.56,15646.04,15373.6,15787.52,12120.44,12515.199999999993,7642.5999999999985,13051.2,29397.52,29938.12,29187.16,23368.0,31298.92,29100.32,28369.4,31766.36,30768.48,31266.16,25091.36,45330.92000000001,15392.72,31267.6,15584.8,45588.92,46048.4,18932.399999999976,7401.600000000002
3,42536.68,28768.520000000015,15639.28,15953.92,42488.1,40567.03999999997,41964.22,15596.28,43210.96,13574.44,27873.640000000007,32115.94,31579.68,29755.59999999999,30356.36,34159.62,30435.96,31937.8,32190.1,28391.96,26368.32,28608.24,36541.5,23249.12,27943.719999999994,30324.099999999995,27134.880000000016,26454.26,29292.76,33755.46,42054.18,45362.52,35252.16,37963.2,41208.48,42719.2,43291.88,43258.16
4,41142.32,41295.44,42682.96,32755.52,43882.24,43752.32,40226.72,41071.52,44511.32,42838.44,25424.52,28198.92,29873.320000000003,29377.2,29487.76,31578.88,29206.04,30381.8,29753.0,29822.400000000016,30651.60000000001,31471.160000000003,34485.0,43118.92000000001,36882.200000000026,43760.8,36855.24,37537.60000000001,41551.60000000001,51119.72,45024.76,46884.35999999999,52660.88000000001,45837.6,53807.16,44934.8,42785.84,44051.84
5,48495.8,40653.60000000001,39698.60000000001,44445.8,46452.49999999999,47073.8,52592.99999999999,43813.1,53207.4,42602.8,31421.0,29234.7,28746.799999999992,29706.0,29129.3,29770.9,29955.2,28542.0,33302.5,46644.2,42502.4,54415.19999999998,48305.0,60690.2,55043.8,47193.5,55652.8,54217.7,53690.6,51147.7,47360.7,48051.2,60892.99999999997,47224.0,65526.2,57239.5,49963.8,42911.6
6,60355.32,48556.12,43851.32,47259.2,59428.88,53604.47999999999,60043.28000000001,46898.04,65225.92,41874.63999999999,38767.16,33275.04,40318.44,38558.2,35648.16,38901.28,34667.04,29398.8,38789.4,69083.04,54713.72,66879.56,65018.0,74025.88,74985.16,55668.4,63649.76,74590.95999999999,68127.08,63628.24,73321.4,59895.32,79407.76,59097.6,72925.64,66878.2,63633.72,49479.04
7,61684.8,57744.04000000001,50450.68,58807.12,65820.08,76113.68,105296.9,51578.02,93611.16,53249.07999999999,53748.52,44228.06,59981.62000000001,46855.6,44588.07999999999,51011.94,38071.22,38590.4,47396.9,81671.52,71719.12,73554.88,65951.5,114722.64,87834.95999999999,86060.7,71173.30000000005,109944.22,84702.79999999999,64540.01999999999,86205.74,68780.88,95449.6,74165.99999999999,112005.0,76114.1,79709.12,57813.84
8,106788.24,64170.76,55234.68,58465.04,108085.2,100439.72,120995.04,56663.08,108974.36,57711.88,69597.88,54215.56,58007.92,70600.79999999999,56327.88,74588.68,54426.72,51741.4,60156.4,89831.44000000016,100271.12,113065.28,91935.0,140836.52000000002,99308.20000000004,120258.6,146489.72,138267.32,117430.40000000002,89082.60000000002,90371.04,75051.19999999997,110813.96,106537.0,135330.68,102605.0,86161.52,65457.96
9,124828.96,107721.12,58765.76,62504.76,120426.48,117877.68,125561.62,64744.56,124951.39999999994,59382.16,84891.24,59602.68,53732.94,89803.8,59312.46,74734.42,64178.14,59161.2,60627.7,123234.24000000002,131377.91999999998,126421.04,119778.0,148983.44,164179.8800000001,168475.10000000033,151027.04,139335.62,121593.26,124841.56,113832.42,97323.64,121979.04,123993.8,134940.92,133289.80000000002,123544.39999999994,75411.32
