,386_1_www.netzkino.de,386_2_www.netzkino.de,386_3_www.netzkino.de,386_5_www.netzkino.de,386_6_www.netzkino.de,386_7_www.netzkino.de,386_8_www.netzkino.de,386_9_www.netzkino.de,386_10_www.netzkino.de,387_1_www.netzkino.de,387_2_www.netzkino.de,387_3_www.netzkino.de,387_4_www.netzkino.de,387_5_www.netzkino.de,387_6_www.netzkino.de,387_7_www.netzkino.de,387_8_www.netzkino.de,387_9_www.netzkino.de,387_10_www.netzkino.de,388_1_www.netzkino.de,388_2_www.netzkino.de,388_3_www.netzkino.de,388_4_www.netzkino.de,388_5_www.netzkino.de,388_6_www.netzkino.de,388_7_www.netzkino.de,388_8_www.netzkino.de,388_9_www.netzkino.de,388_10_www.netzkino.de,389_2_www.netzkino.de,389_3_www.netzkino.de,389_4_www.netzkino.de,389_5_www.netzkino.de,389_6_www.netzkino.de,389_7_www.netzkino.de,389_8_www.netzkino.de,389_9_www.netzkino.de,389_10_www.netzkino.de
0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,67.0
1,14876.8,12736.48,10508.72,9831.02,10832.4,13140.46,11816.639999999996,9175.62,18242.64,15663.399999999996,15957.8,25024.76,32486.6,24009.78,12315.62,44026.36,12365.7,21072.3,18241.47999999998,36426.56,12521.86,12931.04,57468.72,25093.800000000007,17547.200000000026,22038.74,15163.839999999991,30396.32,12092.08,7857.499999999996,10402.999999999996,10277.2,8951.58,13169.54,8505.08,8440.44,6340.159999999995,8384.66
2,63666.60000000001,39592.92,20083.36,32748.56,36351.8,20610.92,27106.84,25282.19999999999,59870.12,140937.6,205743.12000000008,154620.24,312047.87999999983,200768.16,96943.19999999998,255651.6,90239.0,94750.84,117272.39999999998,229864.64,39368.56,82826.20000000001,365789.04,269269.4,154255.4,137522.72,101319.92,129557.71999999994,90791.56,49179.599999999984,39666.4,21193.00000000001,36484.16,20714.04,31053.24,27749.8,13062.48,14007.279999999995
3,143492.00000000006,100830.56,76123.6,94272.2,78189.89999999997,64898.74,85843.44,68665.42,122316.96000000015,457720.79999999976,608394.04,456181.36,590775.2799999998,502623.22,306109.8399999998,536397.32,288770.99999999965,345245.7200000001,379104.82,523235.72,115465.1,315091.08,630014.84,618473.52,363724.40000000014,479250.46,342710.42000000004,358720.2200000001,307198.72,84504.9,107081.19999999997,57902.8,86458.08,52844.82,89161.12,78015.32,51509.28,64219.42
4,318073.2000000001,245967.36,156055.2,181624.0,198855.99999999997,137597.2,155459.59999999998,145776.2,353631.32,609073.3999999997,631467.28,682575.04,670799.4,681301.12,542685.7999999999,656006.96,519020.4,544699.12,535295.2,645688.2,265160.76,608330.84,720572.8,677244.4,590858.2000000001,548023.6000000001,547321.9999999999,589435.48,521179.8400000001,160338.4,241730.8,94126.8,162410.04000000012,113996.72,155173.96,138922.96,97637.2,137346.03999999998
5,451234.5,397684.0,362926.4,286703.3,371795.0,277718.5,388222.4,222778.7,535293.7999999999,723662.0,751450.0,749860.2,785549.0,785221.1,644989.2,764780.8,631662.0,683673.0,636423.8999999999,776872.8,389230.6,638200.3999999999,797237.6,798026.6,679098.0,676909.2000000001,643132.2,642499.5,642907.4,322693.0,352558.0,146556.0,270997.40000000014,202575.50000000003,302362.0,261040.8,220635.1999999999,291403.39999999985
6,545576.8,561408.8,476255.44,429812.12,431939.5999999999,360489.72,572801.36,412300.0399999999,645190.64,784509.4,792216.84,821225.24,891124.4400000002,878071.24,693752.6,822034.5599999998,716155.2,782964.76,723134.48,816769.68,597674.7600000002,743760.12,872582.44,823368.04,745248.0,752970.6000000002,698178.2000000001,681121.24,730586.4799999999,508127.2,387572.5999999999,335331.0000000001,430296.2,353300.4,493260.8,367239.36,478602.56000000006,371814.32
7,684231.6,646840.32,616395.2,569096.08,640040.2,448897.20000000007,677573.64,581156.5,693810.78,823038.4,815959.3200000002,1037390.44,1019383.64,1102926.6,792094.4199999998,956943.44,774932.3,808998.74,801949.08,933321.440000001,636241.8,790728.3200000002,1033884.92,996659.6799999996,818338.2,935177.7,808066.24,851909.52,781784.56,551786.6,541165.0,490670.6,511701.34000000026,453837.14,561244.88,407969.24,613167.76,478661.62
8,698194.2,721956.56,653370.28,658757.84,687831.8,588794.4,692024.36,644713.72,790081.92,936356.2,962846.56,1184359.32,1046063.92,1216477.96,831890.6399999999,1084612.16,805778.2,923298.72,835987.24,1032245.68,651313.24,823629.96,1130437.6,1110756.32,963339.2,1035807.92,928150.44,1066836.08,806554.52,643362.8,668775.8,581264.4,558279.52,527956.52,627281.64,628441.04,621119.32,596424.4
9,825354.3999999998,843674.56,731432.48,747919.88,699105.6,691270.3999999999,731548.4,687896.26,815870.82,1032246.4,1042318.92,1345335.04,1131333.64,1348481.12,1032908.88,1195308.96,857314.7000000002,1042515.06,1033278.2,1218341.5599999996,679973.58,930774.1199999995,1347306.28,1270658.12,1046472.4,1212733.9,1029825.14,1125270.84,874929.44,674829.7,683266.9999999999,629609.2,623899.48,646844.96,642056.8,664971.24,636619.32,638623.2000000001
