,58_1_www.microsoft.com,58_2_www.microsoft.com,58_3_www.microsoft.com,58_5_www.microsoft.com,58_6_www.microsoft.com,58_7_www.microsoft.com,58_8_www.microsoft.com,58_10_www.microsoft.com,59_1_www.microsoft.com,59_2_www.microsoft.com,59_3_www.microsoft.com,59_4_www.microsoft.com,59_5_www.microsoft.com,59_6_www.microsoft.com,59_7_www.microsoft.com,59_8_www.microsoft.com,59_9_www.microsoft.com,59_10_www.microsoft.com,60_1_www.microsoft.com,60_2_www.microsoft.com,60_3_www.microsoft.com,60_4_www.microsoft.com,60_5_www.microsoft.com,60_6_www.microsoft.com,60_7_www.microsoft.com,60_8_www.microsoft.com,60_9_www.microsoft.com,60_10_www.microsoft.com,61_1_www.microsoft.com,61_2_www.microsoft.com,61_3_www.microsoft.com,61_4_www.microsoft.com,61_5_www.microsoft.com,61_6_www.microsoft.com,61_7_www.microsoft.com,61_8_www.microsoft.com,61_9_www.microsoft.com,61_10_www.microsoft.com
0,67.0,67.0,67.0,-442.0,67.0,67.0,-48.0,-442.0,-48.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,0.0,67.0,67.0,67.0,0.0,67.0,67.0,0.0
1,394.14,-51.80000000000013,395.96,1333.64,363.96000000000015,530.9799999999998,366.84,1444.24,1903.5,441.32,1921.62,1935.84,1826.82,4680.3600000000015,2444.16,1810.4,2031.92,1790.82,1174.68,2089.64,1489.8799999999994,1529.0200000000002,1856.84,1488.92,1524.56,4785.22,1495.9600000000012,1769.12,160.55999999999997,656.9000000000002,24.600000000000282,286.88000000000005,793.48,1518.16,678.74,554.4199999999998,558.6800000000002,193.48000000000027
2,2006.4,1274.3999999999996,1996.6,541.6800000000002,1746.9200000000005,2019.24,1818.92,2484.12,4970.0,5976.24,4834.24,4862.68,4928.56,14753.72,6516.72,5025.04,4523.44,4813.56,4449.72,2721.12,7497.719999999998,4731.88,4731.719999999998,4768.56,4834.08,17773.079999999998,6950.04,4621.28,1358.8400000000004,2287.2,1983.4,1194.7600000000002,1398.7200000000007,4868.08,2187.96,1764.1599999999994,2397.64,2433.5199999999977
3,1100.3399999999997,3134.200000000006,1079.7600000000002,2294.92,3406.36,5308.84,2318.5199999999977,4340.72,13594.0,10253.02,12581.98,14013.840000000002,8791.86,32247.0,16767.96000000001,7523.08,7071.040000000001,10280.32,14679.44,7199.140000000001,8863.96,8081.380000000001,7975.679999999998,8046.639999999998,8498.400000000001,40950.34,18678.04,12726.04,5036.32,8577.3,2461.6,4899.08,5957.2000000000035,4582.3200000000015,5359.18,5161.68,3925.84,6719.439999999999
4,2729.64,4109.5999999999985,2735.96,4503.24,4931.3200000000015,4688.88,5142.84,5792.96,30494.0,24160.640000000007,33412.16,20560.76,20201.72,39257.84,29179.24,18903.0,19211.04,48127.0,24000.16,15445.08,12903.52,21258.92,21320.640000000007,19965.72,21915.68,56266.52,24529.92,16822.52,7372.92,9564.8,6222.6,7210.76,10635.88,7400.279999999995,7766.159999999999,9257.92000000001,5189.12,9462.119999999997
5,4664.899999999999,12406.0,4630.600000000001,6634.2,8787.8,6112.9000000000015,6328.8,8761.999999999995,34246.5,30553.3,41650.4,50603.6,41517.4,161872.20000000013,32354.7,16582.8,35811.999999999985,45938.3,39799.8,27412.7,17289.00000000001,30956.8,27729.2,25992.0,23732.6,160072.00000000006,24020.2,23480.8,9123.99999999999,12963.5,9993.0,20398.4,31118.799999999985,13828.2,18193.600000000013,12796.000000000002,7371.6,20529.6
6,6331.96,13344.800000000007,6341.44,7031.200000000002,15345.599999999982,10038.919999999991,8493.24,13866.12,44241.0,34873.039999999986,50749.24000000001,50464.04,46750.52,259379.84,37825.84,20321.480000000003,41024.64,45594.48,42759.44,30713.16,25221.84,31331.120000000006,32971.76,23362.44,27461.56,260124.64,28408.44,20976.04,19898.2,15899.000000000013,9352.19999999999,29430.719999999976,31454.88,19067.8,28326.080000000024,14918.2,14219.360000000008,32162.84
7,8861.76,18636.000000000007,8846.640000000001,13577.24,19955.04,15626.219999999998,10036.88,13482.24,73544.0,77830.6,74663.71999999991,57450.96,57109.56,272980.12,122825.16000000002,38980.40000000008,42029.039999999986,49723.2,61175.28,36663.42,27845.199999999986,35839.759999999966,42881.96,29517.24,76990.79999999999,274944.1,91420.52,26814.48,34002.200000000004,25843.39999999999,12986.6,32060.84,41567.48,26912.960000000006,32100.64,26965.58,21386.800000000017,34969.64
8,10143.12,18419.4,10273.72,15144.600000000002,33748.79999999999,18238.68,21486.92,20944.08,160150.0,179792.52000000005,218865.32,155447.0800000001,95412.24,296267.8,238164.64,153003.40000000005,47153.44,56919.56,68918.47999999997,69188.40000000001,32193.96,169636.27999999994,168511.3600000001,90578.56,199219.36,304535.28,159364.64,127709.0,31600.48,36944.0,15366.4,39596.6,48725.64,25047.76,45519.12,24961.64,33482.08,39254.16
9,10550.2,19022.4,13648.759999999995,24363.23999999999,34963.36,29271.98,25052.87999999999,19079.96,250958.0,256959.24,257337.2,245138.48,170180.44,324300.76,252761.96,242942.48,121850.32,135152.78,194104.64,174002.2,42351.400000000016,256698.36,257023.04,245725.32,257758.96,314107.34,255734.44,224061.8,35452.08,40976.7,17208.8,48591.56,120238.56,28380.44,52401.16000000001,35497.66,35266.83999999998,68799.31999999998
10,22812.4,22538.0,21203.4,28880.4,47120.6,27468.4,25672.8,17693.800000000007,262069.0,264014.2,264090.4,256247.4000000001,255100.8,369448.00000000006,264168.4,253101.2,221494.79999999987,233562.60000000012,251391.6,245319.4,122899.40000000005,263535.8,263639.4,261776.2,264127.2,314119.2,261755.2,253027.8,39789.8,43374.0,28309.0,54875.00000000005,156595.39999999994,32711.800000000007,82716.6,42399.4,45416.60000000001,111170.8
