,398_1_www.opodo.de,398_2_www.opodo.de,398_3_www.opodo.de,398_4_www.opodo.de,398_5_www.opodo.de,398_6_www.opodo.de,398_7_www.opodo.de,398_8_www.opodo.de,398_9_www.opodo.de,398_10_www.opodo.de,399_1_www.opodo.de,399_2_www.opodo.de,399_3_www.opodo.de,399_4_www.opodo.de,399_5_www.opodo.de,399_6_www.opodo.de,399_7_www.opodo.de,399_8_www.opodo.de,399_9_www.opodo.de,399_10_www.opodo.de,400_1_www.opodo.de,400_2_www.opodo.de,400_3_www.opodo.de,400_4_www.opodo.de,400_5_www.opodo.de,400_6_www.opodo.de,400_7_www.opodo.de,400_8_www.opodo.de,400_9_www.opodo.de,401_1_www.opodo.de,401_3_www.opodo.de,401_4_www.opodo.de,401_5_www.opodo.de,401_6_www.opodo.de,401_7_www.opodo.de,401_8_www.opodo.de,401_9_www.opodo.de,401_10_www.opodo.de
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0
1,1400.0,1373.14,1447.4,1412.64,173334.03999999998,1373.14,1376.3,1675.02,168948.56,171731.79999999993,8494.400000000005,15944.439999999988,14533.560000000005,10769.600000000006,10077.68,10033.399999999998,10620.0,14472.699999999995,14702.64,11529.799999999996,9601.84,10013.72,9030.8,8371.840000000002,7877.04,7842.34,12967.4,8536.22,8478.539999999999,8203.24,7571.000000000003,8013.98,7818.920000000001,8326.599999999999,8276.800000000007,8753.68,8457.26,8115.999999999997
2,3927.0,4000.44,3595.2,3824.28,745125.76,4000.44,3991.8,4055.64,613032.3200000001,648184.7999999999,93474.88,95111.12,74060.88,79445.96000000004,60683.63999999999,93671.56,93496.0,94571.6,95827.76,95891.68,72880.2,78164.48,86751.72,84103.52,91996.16,80782.36,50344.2,88973.44,86742.52,93228.12,87011.2,56016.44,90710.04,91911.36,64636.68,89077.36,89560.12,90516.2
3,4923.0,5412.18,5055.2,5151.36,840708.52,5551.160000000002,5390.9,2877.98,845658.16,847386.28,162105.36,192606.44,119527.04,99232.52,103634.4,135286.72,299368.0,105531.2,116922.66,156455.36,102813.88,106697.44,98432.56,167588.12,98164.72,93484.02,102634.72,94938.14,96835.74,108445.72000000004,177271.3,86745.79999999999,99484.88,98646.46,119954.76,104641.2,101192.18,109324.8
4,6206.0,4247.52,6934.399999999998,6282.64,990306.52,4404.52,4160.4,5126.56,959241.0000000001,938024.8,254270.20000000004,313370.08,266352.48,188612.88000000003,234048.04,271889.96,419375.0,214613.0,205400.44,281009.24,148152.56,122258.12,184366.64,206834.16,202104.32,143761.04000000007,133779.84000000008,182172.28,116654.91999999994,222156.44,211112.6,110207.88,151322.95999999993,211952.04,201736.44,191455.04,121307.19999999998,161132.8
5,8173.0,8472.800000000001,8396.0,8207.199999999999,1279134.2,8629.800000000001,8432.0,7204.4000000000015,1124297.6000000008,1390476.1,332813.0,435089.99999999977,448866.4000000001,323487.0,335674.8,397342.0,520034.5,229261.5,322727.2,371886.5,227062.40000000005,203753.8,236660.8,249372.8,265957.0,238208.3,218728.8,220842.5,166135.7,395833.6,225417.5,256799.40000000005,238851.8,230596.7,214042.00000000003,287783.4,202612.79999999996,296386.0
6,11496.0,7987.36,17673.8,10778.200000000004,1467715.72,8144.36,7857.199999999999,8223.08,1244578.76,1557111.68,488156.56,544580.6,523133.72,459452.6,553601.56,480376.28,629831.0,282044.4,462108.84,517961.08,236540.52,357062.8,302144.32,345348.87999999995,306581.56,345685.32,282546.6,264912.7199999998,189496.8,501155.44000000006,388341.4,348644.56,366170.8,333377.96,375640.3600000001,354499.4,324672.64,442345.8
7,17370.0,17612.76,30693.599999999995,17436.680000000004,1757897.84,17769.76,17558.2,16661.37999999999,1484695.52,1624239.18,593089.16,632146.36,692545.08,664033.04,639088.96,512002.94,651114.0,352692.4,518898.24,659670.2799999999,305557.72000000003,441024.6,451608.64,505723.08,382317.04000000015,492616.88,408621.4800000001,364457.1,218284.78,555380.36,501949.79999999993,365237.68,507552.56,478914.68,499441.08,500775.24,496028.98,526741.8
8,50198.0,31761.60000000001,66469.19999999997,47453.44,1940641.16,34118.52000000001,28801.2,17079.56,1796803.6,1715860.24,689006.1200000001,719665.32,701398.52,679350.16,678123.56,595545.2,672416.0,480468.0,684979.8,697541.56,378915.52,488641.64,528474.88,532206.32,484184.76,507172.12,512425.6,396950.92,301788.4,564015.4,602198.6,414704.4,547507.48,544114.44,529621.52,510345.24,536872.0,558387.6
9,113788.0,69475.24,133427.8,83068.68,1958957.72,77791.95999999998,62017.80000000005,49606.64,1934454.56,1957678.02,731673.56,746612.88,715093.4800000002,696343.12,681634.12,709863.86,790607.0,550939.5,767250.02,757310.06,457713.4,542231.76,556440.04,564576.6,540555.3999999999,528884.06,579151.64,481331.12,371942.1,603600.36,623898.4,479169.5,577593.08,556081.16,538651.46,568324.12,560028.34,591026.4
