,86_1_myspace.com,86_2_myspace.com,86_3_myspace.com,86_4_myspace.com,86_5_myspace.com,86_6_myspace.com,86_7_myspace.com,86_8_myspace.com,86_9_myspace.com,86_10_myspace.com,87_1_myspace.com,87_2_myspace.com,87_3_myspace.com,87_4_myspace.com,87_5_myspace.com,87_6_myspace.com,87_7_myspace.com,87_8_myspace.com,87_9_myspace.com,87_10_myspace.com,88_1_myspace.com,88_2_myspace.com,88_3_myspace.com,88_4_myspace.com,88_5_myspace.com,88_6_myspace.com,88_7_myspace.com,88_8_myspace.com,88_9_myspace.com,88_10_myspace.com,89_1_myspace.com,89_4_myspace.com,89_5_myspace.com,89_6_myspace.com,89_7_myspace.com,89_8_myspace.com,89_9_myspace.com,89_10_myspace.com
0,67.0,96.0,67.0,67.0,67.0,67.0,-442.0,0.0,96.0,-442.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-48.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-29.0,29.0,29.0,630.0,-48.0,-48.0,886.0
1,68296.48,66702.62,59943.0,43358.62,8944.76,62479.6,67197.2,70463.80000000003,29909.56,39811.19999999997,33082.94,30227.31999999999,30129.16,31243.68,28007.22,30259.28,30067.2,27846.78,26391.32,29001.28,25272.64,28023.02,24229.42,36439.22,13446.160000000002,29746.84,27972.12,24293.28,27614.28,28989.84,4549.66,381.40000000000083,3788.8,14280.36,6417.52,6049.24,6556.88,-1438.6400000000012
2,428207.2,476755.56000000006,462099.0,358122.1600000001,36837.68,442151.24,438565.0800000001,479770.28,304403.8,213082.0,63401.32,211316.24,105206.84,123342.76,88269.48000000003,81856.88,54342.2,63784.44,131777.44000000006,64786.44,88890.52000000018,75213.79999999999,79428.48,83387.08,55238.36,146480.0800000001,59857.68,156743.7999999999,93240.39999999998,56736.04,12509.440000000002,1316.2,6497.08,41012.36,33196.2,14226.799999999996,26042.56,11072.440000000004
3,685769.36,722528.12,672084.0,550724.66,100321.36000000007,628908.8399999997,769921.04,1039088.4,361443.2,392842.2,340343.7600000001,395930.96,307988.12,372950.32,358860.38,368715.66,227078.79999999996,293299.94,332323.92000000004,361821.16,297705.64,286049.06,395517.04,364738.66,335035.8,410791.48,324725.58,331012.84,293032.52,288918.52,28191.84,2474.1999999999994,11206.12,49897.04000000001,46305.72,18877.56,28888.720000000005,29633.54
4,815365.36,843116.2,770715.0,1485240.48,354422.36,782493.52,1491285.44,1556395.64,933890.12,631771.3999999997,564015.28,545094.32,514884.32,431067.32,488647.04,526079.64,458179.3999999996,465800.4,493528.68000000005,568450.44,495261.52000000025,392367.44,544095.84,534655.88,474885.24,565021.44,487672.44,485369.28,556539.7599999999,462906.23999999993,39763.36,4459.4000000000015,14781.2,55733.56,392996.08,18959.36,36889.68,46439.28
5,983075.8,1175172.5999999996,1053001.0,1564957.0,494790.8,962253.2,1811192.0,1773701.5,1291368.2,766346.0,696187.7,688611.4,687734.2,637252.2,685974.1,682648.3999999999,585624.0,558373.6000000003,680722.6,693130.4,680104.6,654573.7,688913.3,696383.9,663369.8,684380.6,685925.2,682752.7999999999,653624.9999999999,594982.2,46039.80000000002,7124.0,17917.3,185349.40000000008,760234.1999999998,29635.800000000007,59251.2,57833.0
6,1578697.6,1960242.760000001,1271222.0,1846281.9200000004,546658.4,1476629.7599999998,1898274.88,2470593.4,1601367.8,809565.0,940687.04,873863.12,840137.6,696571.36,760862.56,940945.6,702482.9999999999,698900.12,866884.4,901065.08,771141.1599999998,691298.52,839596.2000000002,924092.6,766295.24,825662.8,704037.2800000003,766155.5599999998,765742.3199999998,692573.24,46962.36000000001,6068.399999999998,24001.200000000008,469313.6,1366871.88,29577.8,66522.31999999999,273025.7200000001
7,2214778.079999999,2318809.86,1894566.0,2213142.2,959743.16,2260740.16,2271069.36,3023131.92,1933682.72,905434.0,1080870.92,1031096.8,922578.64,925492.9599999995,958198.86,980907.02,954508.2,871323.7999999998,1041495.44,1048913.96,949459.28,783726.46,1027114.66,1048654.54,956360.72,1003267.48,960693.86,962759.7999999998,945538.12,837592.88,59536.88,12405.200000000004,32108.34,511647.04,1930191.84,36764.28,78214.68000000001,467874.06
8,2795676.16,3121867.76,2916009.0,3171531.8,1480068.52,2663230.12,3133892.72,3884087.8800000013,2152552.72,1191462.0,1114938.64,1077919.5599999998,1106894.68,1073588.16,1077407.68,1052973.96,1001493.6,1034450.64,1068422.16,1116826.76,1027277.96,951764.44,1075989.64,1089754.8,1079235.84,1013160.6,1069749.04,998275.96,1067292.6,940028.6799999996,64406.72,13516.200000000004,34354.32,516356.92,2503838.4399999995,58008.44000000001,81817.32,473555.56000000006
9,3313083.28,3705712.4,3775218.0,4043290.48,1488171.24,3309155.72,3985434.2,4464809.26,2985033.8,1333598.4,1474757.66,1218054.24,1248996.68,1081303.84,1092542.52,1251676.36,1027980.0,1088870.48,1365813.48,1261037.52,1077531.76,1075729.78,1198116.8799999994,1399371.84,1087096.28,1241803.5200000005,1081543.56,1070954.56,1079293.56,1072683.0399999998,69547.88,14943.6,32649.56,524698.92,3226947.0799999987,67179.36,83655.40000000001,485017.46
10,4095071.8,4407360.799999999,4452560.0,4465530.8,1560082.2,3914783.0,4466522.2,4870433.6000000015,3350673.6,1952869.0,1528203.6,1265377.4,1260934.8,1207227.7999999998,1244150.0,1575249.2,1126821.0,1227919.4,1408098.6,1386703.9999999993,1224872.8,1088232.4,1259224.4,1529928.6,1227378.0,1246289.4,1279396.8,1263232.8,1229930.2,1168612.5999999996,175552.60000000038,20151.0,38893.4,625032.2000000001,3912787.9999999986,81391.4,87457.2,517269.2
