,206_1_www.justice.gov,206_2_www.justice.gov,206_3_www.justice.gov,206_4_www.justice.gov,206_5_www.justice.gov,206_6_www.justice.gov,206_7_www.justice.gov,206_9_www.justice.gov,207_1_www.justice.gov,207_2_www.justice.gov,207_3_www.justice.gov,207_4_www.justice.gov,207_5_www.justice.gov,207_6_www.justice.gov,207_7_www.justice.gov,207_8_www.justice.gov,207_9_www.justice.gov,207_10_www.justice.gov,208_1_www.justice.gov,208_2_www.justice.gov,208_3_www.justice.gov,208_4_www.justice.gov,208_5_www.justice.gov,208_6_www.justice.gov,208_7_www.justice.gov,208_8_www.justice.gov,208_9_www.justice.gov,208_10_www.justice.gov,209_1_www.justice.gov,209_2_www.justice.gov,209_3_www.justice.gov,209_4_www.justice.gov,209_5_www.justice.gov,209_6_www.justice.gov,209_7_www.justice.gov,209_8_www.justice.gov,209_9_www.justice.gov,209_10_www.justice.gov
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,1484.46,1450.56,1458.46,1444.24,1431.6,1467.94,1557.4,1452.14,1433.18,1350.4,1406.32,1327.32,1444.24,1453.72,1332.06,1422.12,1352.6,1389.6,1453.72,1415.8,1458.46,1460.04,1493.56,1398.42,1506.3,1403.16,1444.24,1452.14,1430.02,1486.28,1445.82,1425.28,1400.0,1461.62,1458.46,1430.02,1406.32,1426.86
2,3626.04,3590.88,3580.08,3599.52,3670.2,3567.12,3586.56,3588.72,4566.28,3876.2,3875.64,4107.24,3599.52,3586.56,4096.92,3747.24,4052.2,3549.7999999999993,3586.56,3798.6,2457.48,3577.92,3749.44,3931.32,3922.200000000001,3901.32,3599.52,3588.72,3683.04,3650.72,3597.36,3721.56,3927.0,3575.76,3580.08,3683.04,3875.64,3708.72
3,4386.82,4881.56,5334.96,4885.32,4999.8,4834.44,5103.72,5165.02,5667.74,4135.08,5408.6799999999985,4481.040000000003,5191.32,5079.72,4107.26,5012.16,4444.000000000005,4129.52,4973.280000000002,5230.2,4391.38,5279.480000000001,4504.36,5436.66,4607.299999999998,5229.88,4659.24,4775.6399999999985,5148.86,7126.24,5218.26,5084.719999999998,5536.0,4787.38,5148.78,5165.86,5436.6799999999985,5074.3600000000015
4,8447.24,6303.24,6441.84,6407.839999999997,6120.799999999998,8303.76,7697.519999999998,6164.56,6763.84,5050.3600000000015,6481.32,4638.68,6713.839999999997,6098.88,4696.92,5984.480000000001,4697.4000000000015,5258.12,6451.88,6390.8,5200.56,7792.559999999998,7606.2400000000025,6265.720000000004,8654.199999999999,6463.08,5963.96,6226.56,6294.76,10340.48,6216.28,6287.6399999999985,6550.0,8587.48,6182.48,6311.76,6509.32,6057.44
5,8037.000000000008,8021.2,8350.699999999999,8207.8,8297.0,7853.3,8464.4,8314.300000000001,8968.1,6338.200000000002,8338.6,8576.6,8513.8,8188.4000000000015,6273.3,8282.4,8655.0,6483.6,8175.4,8331.0,10938.300000000003,12550.199999999993,7480.800000000001,8272.699999999999,8655.0,8471.800000000001,8300.8,7947.3,8444.1,10084.2,8543.9,8356.4,8352.0,8137.9,8507.7,8461.1,8366.6,8363.7
6,14449.8,14760.68,15005.88,14663.72,13877.60000000001,14475.36,14759.16,14824.92,14739.879999999996,8331.12,10303.800000000003,8593.68,14969.72,12673.519999999995,8476.36,13058.36,8456.399999999998,8491.16,14829.64,11987.800000000005,14302.16,14419.56,14281.8,9332.600000000006,14764.000000000002,12179.560000000005,14517.72,14659.92,13339.120000000004,11300.92,14972.96,13167.480000000005,9684.0,14424.16,14960.88,13340.56,10660.600000000008,14876.08
7,24851.94,25938.36,26722.24,26281.08,22722.80000000001,25441.1,26198.68,26499.38,25116.97999999999,7902.199999999992,14649.8,12728.640000000005,24606.08,24195.68,11691.599999999993,24333.72,14829.200000000008,8109.44,27662.68,19926.79999999998,27398.92,15906.28,28116.12,14391.8,26612.60000000002,17271.64000000001,27495.08,27696.38,24954.620000000006,16323.96,24923.08,21598.72000000001,14538.0,24329.08,24859.24,24970.620000000006,14677.8,24897.66
8,26312.36,26873.16,27045.44,23705.64,24912.4,26807.12,26517.08,27117.12,25602.64,14731.48,24600.24,14757.2,24769.48,22683.039999999994,14550.6,22252.32,24929.4,14957.52,31749.599999999984,27639.6,28185.44,18731.52,26900.96,26881.96,27729.8,27130.12,28072.92,28117.96,25384.28,22760.28,23939.24,22848.92,23506.0,24436.24,25118.68,25484.04,23269.48,24241.52
9,24353.78,25379.24,25606.620000000006,21915.96,23180.2,41373.24000000002,25584.16,25599.58,24514.46,24632.08,24737.96,23376.12,23624.28,23125.84,23546.960000000006,23326.08,25487.6,24740.36,60957.84,27837.4,26336.620000000006,29640.92000000003,25102.56,28102.74,29460.3,28130.48,26522.96,37981.95999999998,24285.58,32729.28,23894.54,24587.84,25369.0,23327.98,23725.620000000006,24541.56,24194.04,24510.08
