,298_1_www.wolframalpha.com,298_2_www.wolframalpha.com,298_3_www.wolframalpha.com,298_4_www.wolframalpha.com,298_5_www.wolframalpha.com,298_6_www.wolframalpha.com,298_7_www.wolframalpha.com,298_8_www.wolframalpha.com,298_9_www.wolframalpha.com,298_10_www.wolframalpha.com,299_1_www.wolframalpha.com,299_2_www.wolframalpha.com,299_3_www.wolframalpha.com,299_4_www.wolframalpha.com,299_6_www.wolframalpha.com,299_7_www.wolframalpha.com,299_8_www.wolframalpha.com,299_9_www.wolframalpha.com,299_10_www.wolframalpha.com,300_1_www.wolframalpha.com,300_2_www.wolframalpha.com,300_3_www.wolframalpha.com,300_5_www.wolframalpha.com,300_6_www.wolframalpha.com,300_7_www.wolframalpha.com,300_8_www.wolframalpha.com,300_9_www.wolframalpha.com,300_10_www.wolframalpha.com,301_1_www.wolframalpha.com,301_2_www.wolframalpha.com,301_3_www.wolframalpha.com,301_4_www.wolframalpha.com,301_5_www.wolframalpha.com,301_6_www.wolframalpha.com,301_7_www.wolframalpha.com,301_8_www.wolframalpha.com,301_9_www.wolframalpha.com,301_10_www.wolframalpha.com
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,0.0,-442.0,-442.0,-442.0,-442.0,-1363.0,67.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,0.0,0.0,-442.0,-442.0,-442.0,-442.0
1,1257.38,1408.2999999999995,1557.26,3054.2200000000007,2645.5999999999985,1278.9400000000005,1553.62,1114.1000000000006,1332.84,-18654.48,3711.8,4086.6,3336.699999999999,3987.48,92368.68,1729.7,1221.4600000000005,1740.26,1672.26,4033.56,4143.0,4091.76,4079.72,4114.12,544.6800000000002,1700.0000000000007,1339.9000000000008,3524.0000000000014,6255.680000000001,5332.960000000006,7089.38,7291.200000000002,142839.30000000002,191897.92,8429.92,5524.78,8629.52,9116.760000000002
2,5456.24,4951.800000000002,4099.84,11013.04,4430.080000000001,5444.44,4171.92,5220.08,4144.36,-16341.84,4994.3600000000015,4652.5999999999985,5260.440000000001,4366.84,154317.0,4457.56,5079.04,4174.12,5400.919999999999,5020.480000000001,4562.0,4556.76,5631.3200000000015,5460.12,1768.1599999999994,5218.2,5463.96,5507.4,26474.04,27238.88,29329.68,31605.2,243044.8,306070.8,34398.76000000002,16059.760000000002,27026.96,23773.83999999997
3,6162.219999999998,4743.299999999998,4272.440000000001,14880.74,8938.799999999996,6575.12,4443.28,6739.22,4893.120000000001,-14533.84,6306.480000000002,8525.2,8424.86,7997.519999999998,179462.68000000005,4762.42,8400.08,7323.46,7504.279999999996,8280.16,8576.0,8371.82,5882.76,8614.24,4907.72,8293.800000000001,8645.92,8552.6,32545.04,28647.880000000016,29108.84,39929.8,314319.0000000001,399666.92,34761.82,37224.26,34314.56,34474.48
4,7940.12,8671.599999999999,8194.76,16288.32,10622.88,8565.760000000002,8307.12,5679.800000000004,8355.039999999999,-13647.76,9433.64,18824.8,18685.32,28039.76,217335.0,8951.84,18275.04,15630.199999999995,8465.799999999996,13402.16,19166.0,18827.72,13172.64,14015.4,6680.84,18685.6,13211.12,15213.4,52407.72,46504.72,39651.44000000002,50864.4,456584.52,539487.12,46497.88000000002,45771.11999999999,46875.92,43480.56
5,18993.4,14403.0,14394.6,20120.7,14063.1,18840.2,11704.9,11403.7,6516.8,-11468.4,15762.999999999995,26259.0,27024.500000000004,24533.4,258256.7,19530.2,27517.7,26768.500000000004,27987.2,21930.6,27782.0,28035.3,20935.4,29065.6,19515.800000000007,28702.0,25946.300000000014,21325.0,56813.3,51540.20000000002,48472.9,59711.0,480353.3,553832.8,54019.09999999999,54783.9,55484.29999999999,55804.2
6,48742.8,28120.80000000001,29474.56,39315.2,19574.159999999974,35569.79999999999,18615.32,12448.08,17686.239999999998,-1210.4800000000007,26467.76,25954.6,24220.68,24719.64,262332.88,26920.92,27237.48,28163.92,25897.88,20476.56,24935.0,25142.720000000005,26466.56,28290.52,29584.64,26060.8,27328.12,28224.599999999995,58820.96000000001,60316.87999999999,53744.04,72605.59999999998,508644.4,608494.64,60591.35999999999,53823.79999999999,56745.68,60043.36
7,74223.1,44427.00000000002,44939.7,50930.7,41080.07999999998,55213.08,42017.3,26323.84,48710.35999999999,16249.4,34498.240000000005,24265.800000000007,24866.34,30528.32,262697.32,26770.82,25311.98,26511.92,23357.98,18075.24,25484.0,25399.14,34844.52,26498.44,27039.44,26282.8,24366.86,25386.2,63705.82,73190.08,67874.72,100136.2,553422.26,646420.7999999999,71371.81999999999,94700.76,79827.64,65573.31999999999
8,105188.4,71849.60000000003,70763.79999999999,54679.72,63174.4,71929.35999999999,70797.68000000002,39720.8,101256.32,40978.83999999998,34559.24,32885.2,28489.32,35006.08,266406.96,25084.56,28364.52,27056.08,26806.52,24156.44,29325.0,29076.04,32182.12,26697.92,27126.52,29355.4,27871.12,24397.40000000001,96001.08,92330.36,90028.32,108956.2,623086.16,720217.32,94668.44,113341.71999999994,88945.12,107617.12
9,111178.38,99197.9,108056.55999999998,58458.46,82167.7,108452.43999999996,104540.84,65085.080000000016,110821.72,84549.76000000001,32673.12,36832.4,34573.94,38906.56000000001,281337.66,30972.14,33733.83999999998,33202.34,32877.22,28166.48,35480.0,35084.74,35310.32,30105.88,27837.64000000001,33493.4,32358.160000000014,29843.6,100177.02,100629.04,100014.74,167658.4,666912.5599999999,800763.64,97326.34,128996.96,100933.54,119646.44
10,124042.8,122970.0,122586.4,60033.8,103254.0,110365.2,118995.0,97865.60000000003,120041.0,99420.6,38602.6,41074.0,41088.2,45632.6,283546.8,36190.400000000016,38785.8,39831.6,35009.8,36544.4,46231.0,41199.4,43548.800000000025,36065.8,33996.8,37287.0,43051.6,40971.0,108088.59999999992,100812.2,102758.60000000003,201814.0,707372.6,889866.6,106815.2,133283.8,104227.4,121485.4
11,145414.3,126690.8,126179.96,65044.26,117825.3,114277.12,126366.52,114160.34,129769.48,100756.88,42984.36,44679.00000000001,43853.58,43933.44,287104.36,39510.06,42650.54,42126.44000000002,39333.38000000001,38852.679999999986,46314.0,44442.3,45396.12,38371.52,40735.48,42479.000000000015,44443.66,42530.8,122083.18,125444.98,100610.96,252037.6,760012.98,919585.44,103586.86,144788.58,103955.1,138970.84
12,171432.32000000007,142256.8,128280.96,109572.36,121702.75999999994,140801.51999999993,136588.12,126349.72,156163.64,109907.4,47370.12,44491.4,45655.56,45323.12,286913.44,43832.96,45028.12,42135.84,40730.76,36873.56,46302.0,45305.28,49802.04,44223.84,42695.52,46818.8,42935.48,43825.2,153928.76,150718.52,115432.59999999974,302320.6,816360.8800000001,988058.8,106323.80000000003,181238.11999999988,111972.84,140927.92
13,201647.58,174587.0,158070.58000000002,117423.96,147731.53999999995,157241.25999999995,155122.06,144671.3,197138.44,124847.52,48706.16,43326.8,45983.82,50985.48,291213.14,47453.34,46368.22,49818.56,46176.98,37873.52,47233.0,45124.18,47748.84,42550.12,43359.76,46384.19999999999,44076.46000000001,41867.4,203450.3,244293.62,126292.86,348861.2,852335.92,1097319.0799999998,125843.96,221033.13999999987,124490.67999999998,157301.91999999998
14,235922.56000000003,190140.00000000003,186291.71999999997,122434.76,170008.19999999998,188408.44,157387.16,188623.08,237634.6,148840.28,51154.92000000001,44368.60000000001,45415.04,52909.52,297353.92,45112.95999999999,46369.64,62632.32,45314.64,38869.31999999996,49904.0,47195.19999999998,48825.24,41465.24,41784.52,46802.79999999999,49244.20000000002,42651.8,235990.56,278998.88,159340.08,438924.00000000006,909250.76,1160725.84,146951.84,293920.88,158615.99999999994,185021.83999999988
15,256964.5,247494.0,236338.5,145802.7,217310.5999999999,243394.0,183835.7,230213.20000000004,277615.6,183963.0,50534.4,50464.0,48718.5,62740.8,299122.4,45526.1,49053.90000000001,80284.59999999999,42923.70000000001,45073.4,57050.0,51665.7,55443.00000000004,48636.60000000001,46951.6,58748.0,52183.9,48937.0,275334.3,318025.5000000001,203111.4000000001,500234.0,982329.6,1227102.4,157759.80000000002,331800.5999999998,207875.7,196197.6
16,285377.24,282258.0,269687.48,187050.72,246122.8,263226.92,184906.88000000003,269408.60000000003,296025.96,232102.2,49890.12,57913.8,54573.96000000001,70794.79999999999,303072.92,50679.80000000001,52659.2,82598.63999999997,49074.479999999974,51373.76,61074.0,57272.44,81562.36,51906.84,53517.92,56363.2,55038.16,51986.2,284081.96,346530.3200000002,269934.48,544375.8,1076382.4,1309209.56,193535.72,351088.19999999995,224813.76,221709.56
17,292625.48,312760.4,299637.7,213787.43999999997,281816.86,293148.6,247715.56,287717.92000000004,303234.8,246650.4,52773.28,64642.80000000001,63812.24000000001,90593.52,303487.82,50937.26,58432.7,83638.52,53978.74,51392.16,68800.0,66342.34,95703.56,69011.36,57686.04,58826.4,53320.3,55689.20000000002,296991.92,351445.58,300834.7000000001,595274.2,1107254.22,1397665.04,235684.8,358792.36,259991.98000000013,234331.72
18,300500.4,341271.2,335003.28,224039.6,330164.28,313759.4399999998,273503.28,315739.0000000001,310087.72,274811.31999999983,62927.12000000001,73254.2,69317.72,107768.92,303951.16,60524.68,65529.59999999997,93436.68,54898.56000000001,64202.76,71196.0,83783.00000000001,94589.96,75589.88,66111.92,66740.80000000003,60713.480000000076,56338.6,293664.36,360831.92,340903.52,651640.2,1189663.2000000002,1496865.2,273834.04000000004,372578.88,285798.8,288471.2399999997
19,310000.32,344197.9,350804.66,267057.3,330671.46,318254.82,305394.92,329558.86,310050.44,314786.8,69867.04,80899.6,85726.78,106365.48,309947.66,67578.08,87957.63999999993,110996.54,59356.38000000001,72424.08,80853.0,88235.8,106545.88,84119.32,67187.56,76420.19999999995,70852.00000000009,65468.59999999999,297277.46,367849.2400000002,352489.46,661460.8,1231063.58,1571798.92,311235.98000000004,384779.94,309757.26,322013.36
20,313857.8,348034.0,350521.19999999995,324153.1999999998,347979.6,316191.6,326802.40000000014,337028.2,293662.4,324230.2,86727.20000000001,105575.0,101139.2,108910.4,308047.6,85924.8,97980.2,118555.0,72531.2,89466.2,96858.0,96685.2,116183.4,86033.8,77783.4,96253.0,82550.2,72699.0,318595.4,372273.4,368065.8,693492.0,1254850.8,1688245.4,360394.4,406202.4,346552.60000000003,359801.4
