,390_1_www.watchbox.de,390_2_www.watchbox.de,390_3_www.watchbox.de,390_4_www.watchbox.de,390_5_www.watchbox.de,390_6_www.watchbox.de,390_7_www.watchbox.de,390_8_www.watchbox.de,390_9_www.watchbox.de,390_10_www.watchbox.de,391_1_www.watchbox.de,391_2_www.watchbox.de,391_3_www.watchbox.de,391_4_www.watchbox.de,391_5_www.watchbox.de,391_6_www.watchbox.de,391_7_www.watchbox.de,391_8_www.watchbox.de,391_9_www.watchbox.de,391_10_www.watchbox.de,392_1_www.watchbox.de,392_2_www.watchbox.de,392_3_www.watchbox.de,392_4_www.watchbox.de,392_5_www.watchbox.de,392_6_www.watchbox.de,392_7_www.watchbox.de,392_8_www.watchbox.de,392_9_www.watchbox.de,392_10_www.watchbox.de,393_1_www.watchbox.de,393_2_www.watchbox.de,393_3_www.watchbox.de,393_4_www.watchbox.de,393_5_www.watchbox.de,393_6_www.watchbox.de,393_7_www.watchbox.de,393_8_www.watchbox.de,393_9_www.watchbox.de,393_10_www.watchbox.de
0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0
1,54765.68000000002,27573.8,58998.34,86084.04,51836.28,87188.76000000001,85771.16,53891.39999999999,58837.47999999999,27583.6,18597.0,31490.319999999985,18663.64,19353.6,13150.62,18558.4,18683.4,19549.800000000007,13317.6,32290.519999999997,4632.219999999998,4920.24,4420.46,5141.3200000000015,5277.88,4469.98,5090.72,5113.440000000001,4591.0,5063.84,11967.279999999995,16767.839999999997,11496.600000000004,14324.099999999995,15389.04,10478.159999999996,19323.32,10250.000000000004,14856.04,18029.539999999983
2,204749.48,200729.92000000007,204060.76,238205.92,204037.08,263546.48,202849.08,237309.36,240674.84,177455.60000000003,78860.4,113961.76,76567.24,80315.6,82675.28,112937.36,78699.08,81649.64000000001,79539.4,97769.48,18808.2,18929.04,18365.88,19075.96,19205.64,18820.96,11297.32,19097.16,18830.0,19010.52,54123.64,73101.44,68552.68,70379.8,70237.80000000003,72533.28,72104.28,72897.6,76869.52,70957.39999999997
3,310549.68,305944.4,364773.68,436744.52,278842.52,441579.2,342995.28,366604.12,356489.78,242382.8,166028.2,176818.75999999995,288904.68,176860.56,266371.3600000001,364826.84,174706.46,235601.36,173183.4,174191.52000000002,21876.07999999999,19319.480000000003,22941.98,20627.52,21384.44,23297.56,26163.32,21056.22,25976.0,21106.42,125689.36000000007,195793.67999999988,163959.68,159426.9,159824.08,199394.68,157547.86000000002,165979.6,160553.63999999998,158792.86000000002
4,643265.76,451035.4000000001,614159.3199999997,642760.48,445801.64,680087.56,684545.64,639820.48,639190.6,551612.64,309153.6,230958.68,424354.96,209957.76,401046.92,499062.08,273398.16,305577.44,230681.4,277755.48,59985.4,52358.96,65211.16,46005.56000000001,48223.32000000001,60806.92,28881.64,48312.52,45190.0,51546.47999999998,197861.32,321996.56,187951.96,201262.6,210089.28000000003,262156.16,200464.56,190261.2,173451.4,257838.83999999976
5,807597.5,641955.4,854567.7999999998,892634.2,684376.9999999999,931209.7999999998,883926.0,838227.3999999998,882166.6,851979.8,466757.0,306979.6,515509.9,267026.6,478570.3,548035.2,389859.3,460939.6,323938.0,469909.5999999996,87944.5,119740.60000000012,148407.2,92066.8,91346.8,129525.39999999998,57785.99999999997,123325.39999999998,74038.0,99047.39999999998,282643.6,402899.4,231481.4,267992.5,250412.8000000001,319105.19999999995,250524.3,228084.5,220781.4,379709.3
6,943181.2,931309.44,994935.72,1048479.88,895054.36,1078084.12,1035060.2800000005,1086606.72,1044561.4,1064999.4,545152.8,426681.2,526983.0399999999,418964.51999999967,544029.48,566217.52,582192.12,519195.52,500736.8000000001,548543.96,169600.32,156465.12,202211.2400000001,138548.76,138548.52000000005,213066.32,97763.04000000002,219432.63999999996,145199.0,145399.44,404509.72,471682.76,278519.60000000003,410096.8,348686.7200000001,455797.12000000005,376469.6,278323.6,312379.56,511093.7199999997
7,1133814.7000000002,1040997.72,1147926.94,1390669.1,1080286.5599999998,1376425.9,1197615.8,1246054.68,1303060.9199999995,1415998.2000000004,631494.6,571221.2399999999,689098.48,545808.72,575692.8799999999,622015.3999999999,643022.8,552081.76,671970.1999999997,645495.7999999999,204617.72,304549.36000000004,254257.98,275153.0,207869.76,333614.9999999999,127069.68000000002,347035.88,246339.0,252654.26,468153.12,538391.84,355484.0,506926.2,432151.36,550922.92,482770.38,393762.0,390448.40000000026,546595.6
8,1338871.12,1309333.12,1516771.44,1692243.76,1325843.56,1582275.32,1468717.9600000004,1544072.0799999996,1574200.76,1727964.64,761279.8000000002,743265.5199999998,789450.48,641033.52,641022.36,682518.88,709178.08,560104.04,731187.5999999999,731189.3999999998,262027.24,390905.8,277762.36,316660.5199999998,293602.8,479449.6,248741.95999999996,477728.72,391075.0,338501.04,549533.0,592040.6,463736.36,614274.7999999999,523896.76000000007,576033.32,565060.12,500992.4,466576.52,619528.44
9,1733168.0799999996,1493426.7600000002,1799767.9,1904330.48,1496853.4,1832518.48,1767111.4,1990090.96,1812384.06,1866091.0,870703.0000000001,829411.72,828131.6000000002,707455.32,754901.94,789542.8,764892.84,636753.1000000001,802930.4,760093.32,295194.96,438479.8000000001,307225.94,464672.23999999993,346537.4,484186.26,372636.6,485813.02,486301.0,483509.94,610751.72,608862.24,655527.16,621427.7,664518.22,615283.76,659005.1799999994,617532.3000000003,509003.72,645694.3
