,74_1_www.blogger.com,74_2_www.blogger.com,74_3_www.blogger.com,74_4_www.blogger.com,74_5_www.blogger.com,74_6_www.blogger.com,74_7_www.blogger.com,74_8_www.blogger.com,74_9_www.blogger.com,75_1_www.blogger.com,75_2_www.blogger.com,75_3_www.blogger.com,75_5_www.blogger.com,75_6_www.blogger.com,75_7_www.blogger.com,75_8_www.blogger.com,75_9_www.blogger.com,75_10_www.blogger.com,76_1_www.blogger.com,76_2_www.blogger.com,76_3_www.blogger.com,76_4_www.blogger.com,76_5_www.blogger.com,76_6_www.blogger.com,76_7_www.blogger.com,76_8_www.blogger.com,76_9_www.blogger.com,76_10_www.blogger.com,77_1_www.blogger.com,77_2_www.blogger.com,77_3_www.blogger.com,77_4_www.blogger.com,77_5_www.blogger.com,77_6_www.blogger.com,77_7_www.blogger.com,77_8_www.blogger.com,77_9_www.blogger.com,77_10_www.blogger.com
0,-442.0,67.0,-115.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-48.0,67.0,67.0,-48.0,67.0,0.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-48.0,-48.0,67.0,67.0,-442.0,67.0,-442.0,67.0
1,1732.6999999999996,1622.1,1737.6999999999996,1304.1600000000005,1161.74,212.04000000000008,1982.04,1658.44,1233.02,1569.96,1606.0999999999995,1013.44,1314.36,1948.92,1128.0400000000004,1543.8,47.92000000000018,1808.2,1549.36,317.55999999999995,342.6,343.56,342.6,199.32000000000005,1321.0,342.12,310.7000000000001,343.56,454.24,1771.5,1598.56,-472.8000000000001,1651.6,-342.5200000000001,1328.9,1530.8,1437.92,1612.4
2,4179.4000000000015,2475.2000000000007,3333.4800000000023,4428.96,4489.08,997.4399999999994,753.2799999999962,2547.88,4602.84,2535.24,4791.5999999999985,4494.08,4580.6399999999985,5032.96,4564.56,2599.12,1057.12,4734.799999999998,1227.08,1678.64,1714.9999999999998,1695.4,1646.8000000000015,1647.48,510.0,684.24,1681.8,1695.4,1901.08,3045.8,1124.9199999999983,1330.2,3216.24,1437.28,3104.2000000000007,3109.4,2875.84,3192.56
3,6425.6,7262.8,4523.619999999999,6223.76,6869.040000000001,4783.44,4808.92,7103.3200000000015,6905.48,5725.399999999998,10108.6,6538.04,7206.640000000001,7478.04,6629.360000000002,4629.88,4859.28,8914.6,2427.88,878.7600000000003,957.899999999999,916.74,1665.3000000000004,2743.12,4448.0,2099.2,884.6999999999997,916.74,3361.12,5458.800000000001,2682.48,3136.7000000000007,4658.279999999999,3240.78,3130.999999999994,4782.6,4321.76,5449.32
4,6832.799999999994,7686.000000000003,6869.32,14173.72,7780.799999999997,6992.6399999999985,7622.439999999996,11283.16,8870.800000000003,6889.88,9808.4,12242.12,14094.84,12134.24,9758.399999999994,6691.6399999999985,7144.16,12434.4,4332.92,4818.28,3886.600000000003,4849.879999999999,4312.600000000003,6575.719999999998,4453.0,1364.64,2637.6,2587.04,4829.16,7353.8,4833.0,5114.2,4828.5999999999985,5387.799999999998,4804.0,7245.600000000001,6899.6399999999985,4854.88
5,9067.5,13693.5,12776.1,16253.8,13969.8,9976.799999999996,14264.8,12749.4,14632.400000000005,12856.200000000004,16873.5,15377.899999999998,15502.8,14525.8,14018.8,12844.6,14373.8,14745.0,5639.800000000001,4834.4,4758.5,4774.3,5847.0,6195.800000000001,6899.0,5280.200000000002,4626.5,4774.3,7331.8,9073.0,6436.999999999996,4927.5,7181.4,5902.100000000005,7109.5,8551.0,8725.6,7514.8
6,13259.2,16478.2,17134.76,29856.28,15753.320000000003,14803.360000000002,15840.36,13802.96,18596.600000000006,17210.16,30577.599999999995,16781.16,18656.800000000007,16651.639999999996,16587.56,15896.76,15530.52,26407.399999999994,5621.360000000002,8203.040000000006,7388.4000000000015,7282.88,6111.000000000012,13248.84,8403.0,5086.12,6174.4,7282.88,9116.760000000002,10626.6,7525.7599999999975,7037.400000000012,8489.6,7152.560000000009,8617.6,44453.999999999905,9982.4,9105.72
7,18773.4,28861.1,30507.36,30340.36,29827.24,17304.08,17166.600000000002,25212.48,28348.48,31354.52,31054.9,29933.94,28094.64,29878.64,29235.28,17581.24,17079.64,34193.8,8026.12,9733.24,6010.8,8242.060000000007,7829.3,16535.76,11647.0,7679.72,8864.800000000001,8207.840000000007,10811.28,13958.1,8410.120000000003,8409.00000000001,11883.76,8488.400000000007,8679.699999999999,88619.4,12077.319999999998,11961.72
8,20944.4,31821.8,30883.12,42526.43999999996,28100.279999999995,28914.76,28190.76,32456.079999999984,32091.12,31929.08,38628.20000000005,30426.92,32491.920000000016,32156.440000000013,32151.24,29741.36,28583.48,41840.6,9906.88,9685.04,10949.400000000003,8603.800000000005,9242.8,33846.359999999986,13825.0,6835.440000000001,10007.999999999996,11510.28,14429.12,73752.39999999997,12223.56,11594.6,41018.720000000016,12281.36,11504.6,89921.8,16524.76,64381.24000000001
9,34101.4,36680.00000000005,34955.54,47304.92,34797.44000000002,31792.240000000034,34902.759999999966,38608.64,42443.98,35512.55999999998,47970.2,34541.38,45958.64,35259.400000000016,33883.08,32862.04,32263.96,46474.6,13883.240000000002,12899.839999999998,14197.6,14293.96,11960.2,105924.24,15628.0,10028.400000000003,10618.999999999998,12900.82,17400.44,91021.4,55663.23999999998,50100.20000000001,87153.56,80291.44,57435.39999999997,91377.2,19528.440000000006,87295.36
10,36597.0,45599.0,42445.4,48175.8,42489.6,35770.00000000001,41976.6,45942.8,45413.60000000001,43392.4,49023.0,46334.6,46394.2,50547.2,43663.4,34506.4,42221.6,46579.0,15334.2,16444.4,14259.0,14385.2,15372.0,144431.59999999992,16002.0,14554.8,15749.0,16166.2,20726.2,92582.0,86711.8,86222.0,88606.8,89085.6,86390.0,92959.0,86113.80000000019,88963.2
11,40838.3,48156.1,50122.56,49235.76,45426.96,46962.84,43558.04,64484.39999999996,48230.28,48464.96,49879.4,47817.07999999999,49876.16,49481.16,47320.76,42175.20000000002,49883.76,54376.80000000002,16923.079999999998,17112.079999999998,15268.199999999995,16041.62,17470.1,191623.2,73947.0,14669.04,16018.099999999993,17133.560000000005,93969.48,93839.9,88346.84,87646.3,90024.28,89395.36000000002,88088.7,91012.4,96475.28,90378.92
12,49607.80000000001,49312.4,66713.4000000001,56502.08,50277.88,49540.72000000001,50992.48,125991.24,51680.76,49097.12,54225.60000000005,50804.84,50882.76,95523.55999999994,50163.64,49827.08,49422.84,54197.40000000005,18326.39999999999,41896.48000000007,39787.60000000015,36061.52000000001,30219.600000000148,232424.4,83667.0,16585.84,17748.2,46581.12,96924.48,95329.4,90138.88,89426.2,91618.72,90099.76,89467.8,89089.2,97441.16000000002,92077.52
13,51964.9,50191.59999999999,75312.78,66805.84,54523.02,67716.40000000014,52101.71999999997,129584.72,54506.76000000002,47654.16,59012.7,53367.79999999998,51503.76,131598.36,48546.36,50561.84,87766.04,65831.4,85345.32000000005,79855.84000000001,75992.0,104176.16,87538.40000000001,271659.2799999999,96087.0,56337.95999999997,78527.79999999996,82305.76,98430.44,93146.7,91512.12,90826.3,91943.96,91627.82,91227.8,92273.2,97749.84000000004,93659.56
