,126_1_www.oracle.com,126_2_www.oracle.com,126_3_www.oracle.com,126_4_www.oracle.com,126_5_www.oracle.com,126_6_www.oracle.com,126_7_www.oracle.com,126_8_www.oracle.com,126_9_www.oracle.com,126_10_www.oracle.com,127_1_www.oracle.com,127_2_www.oracle.com,127_3_www.oracle.com,127_4_www.oracle.com,127_5_www.oracle.com,127_6_www.oracle.com,127_7_www.oracle.com,127_8_www.oracle.com,127_9_www.oracle.com,127_10_www.oracle.com,128_1_www.oracle.com,128_2_www.oracle.com,128_3_www.oracle.com,128_4_www.oracle.com,128_5_www.oracle.com,128_6_www.oracle.com,128_7_www.oracle.com,128_8_www.oracle.com,128_9_www.oracle.com,129_1_www.oracle.com,129_2_www.oracle.com,129_3_www.oracle.com,129_4_www.oracle.com,129_5_www.oracle.com,129_6_www.oracle.com,129_7_www.oracle.com,129_8_www.oracle.com,129_9_www.oracle.com,129_10_www.oracle.com
0,-48.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-48.0,67.0,-48.0,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-48.0,-48.0
1,1391.74,676.48,2542.88,1360.0,533.0,2200.120000000001,911.5,670.5199999999998,1746.9200000000023,1373.3200000000004,980.0999999999997,2114.12,894.1800000000002,1925.4,2855.4999999999995,952.76,1848.94,2892.32,906.08,1834.72,1671.2400000000002,1484.9599999999996,1174.68,2043.1999999999985,1890.02,1558.22,563.9600000000005,1144.12,1373.7200000000005,2064.1600000000035,2300.4,2908.6,489.44,1904.24,1276.1600000000035,930.92,1913.48,725.2000000000005,1189.9600000000005
2,4734.32,6234.719999999998,6147.92,7011.0,6138.0,6662.44,4061.0,7187.92,7178.6399999999985,5232.599999999993,5481.000000000003,7490.28,1277.2799999999995,4930.4,10475.2,3911.88,4824.8,8856.880000000001,4099.84,4909.4000000000015,6586.3200000000015,4809.28,4497.72,6633.4000000000015,4819.04,4591.160000000002,6788.24,4411.480000000001,5925.839999999997,7098.240000000011,5238.8,12049.4,3235.84,4847.480000000001,8180.400000000007,1683.7600000000002,6659.039999999999,8871.6,4722.840000000001
3,8159.98,8649.200000000004,18573.96,12849.0,9744.5,18347.2,8804.5,14635.16,17604.32,14315.639999999996,13466.8,17092.04,10032.3,8617.800000000001,28221.400000000005,7612.68,8566.779999999999,27673.54,7110.76,9040.56,15309.28,10868.439999999991,14066.16,23233.4,8493.86,11166.079999999994,18930.24,13594.96,14036.439999999993,19096.16,8685.999999999995,27473.599999999995,7464.040000000001,9581.72,29835.78,5340.480000000001,9374.44,20435.9,17272.72
4,24897.84,29214.68,29427.08,27712.0,30527.0,25419.96,20075.0,25544.08,29111.68000000001,25951.04,23455.8,28945.8,17967.68,19332.44,108286.4000000001,19044.12,15121.04,95888.68,12465.52,12456.399999999998,22273.80000000001,22349.120000000006,28380.72,30644.8,16509.680000000008,28438.84,29152.52,20441.88,24371.84,27565.64000000001,26808.2,75046.4000000001,14463.6,28819.52,34524.80000000002,10211.680000000004,16550.72,32781.4,26773.84
5,28294.7,31967.4,98022.0,31460.5,32113.0,73884.19999999997,26140.0,34485.80000000002,61398.40000000001,40507.99999999983,28433.0,129862.39999999994,29280.2,30550.40000000001,167181.5,30661.799999999992,21815.4,165172.6,18596.99999999999,25275.40000000005,53075.000000000095,25827.00000000001,29729.4,109482.0,23962.1,31223.1,88371.1999999999,23928.200000000008,30598.3,33496.2,28179.0,315150.0,21911.2,29435.6,199819.2,20902.4,25553.0,121352.0,32615.4
6,46768.2,130538.4,162595.8,120517.0,100743.0,151228.12,45850.0,137942.08000000002,163453.2,118033.04,83704.80000000013,168504.72,51072.87999999999,65694.0,217794.6,83008.95999999995,36330.23999999998,208511.48000000013,29685.399999999987,33012.32,251035.72,107887.43999999994,70750.80000000003,256151.1999999998,29596.44,125691.11999999992,213894.4,112497.3599999999,124623.31999999998,74316.28000000001,34545.19999999998,411104.2,31837.640000000007,34635.44,400343.96,30113.6,28948.88,307135.3999999996,109388.27999999996
7,126727.75999999998,163313.6,170318.19999999998,159885.5,161332.0,161515.46,158402.5,163113.2,170331.86,160862.2,163495.0,197314.12,145448.92,162957.19999999998,230423.3,159357.76,151265.98,219904.46,37139.58,87688.79999999987,385248.9200000001,196344.28,162536.96,450998.8000000001,143994.60000000015,268174.04,317034.3199999999,267730.2799999999,194607.04,104317.64,150074.7999999998,424969.2,74823.8,143501.48,409387.02,36033.36,43000.84,404603.6,211599.23999999987
8,158245.32,170507.32,217363.04,192881.0,172848.0,180802.72,171305.0,170373.48,217384.36,182887.24,170584.8,226877.12,165758.12,169707.04,320890.0,167221.84,159407.04,366167.36,82483.48,162516.8,529828.92,323125.87999999995,254033.6,535604.6,244085.2400000001,417782.44,441403.64,396380.04,292052.91999999987,134054.08000000002,277934.8,466369.6,230546.84,229480.44000000012,446167.32000000024,133565.08000000007,160583.68000000008,417374.8,338151.08
9,168022.6,215623.76,243408.72,214767.0,177492.0,213625.88,174615.5,216073.16,243208.06,216083.88,201469.00000000003,372385.28,175016.96,204802.5200000002,422780.2,179221.20000000013,166104.14,477647.9199999999,166400.6,172524.88,572517.76,438231.88,364209.32,582220.0,340881.52000000025,516508.4,565476.7999999999,501745.56,384540.14,194243.20000000004,390055.6,492662.0,374064.88,344369.8,470703.84,208495.48000000019,299869.60000000003,443179.8,404089.08
