,9_1_www.heise.de,9_2_www.heise.de,9_3_www.heise.de,9_4_www.heise.de,9_5_www.heise.de,9_6_www.heise.de,9_7_www.heise.de,9_8_www.heise.de,9_9_www.heise.de,9_10_www.heise.de,10_1_www.heise.de,10_2_www.heise.de,10_3_www.heise.de,10_5_www.heise.de,10_6_www.heise.de,10_7_www.heise.de,10_9_www.heise.de,10_10_www.heise.de,11_1_www.heise.de,11_2_www.heise.de,11_3_www.heise.de,11_4_www.heise.de,11_5_www.heise.de,11_6_www.heise.de,11_7_www.heise.de,11_8_www.heise.de,11_9_www.heise.de,11_10_www.heise.de,12_1_www.heise.de,12_2_www.heise.de,12_3_www.heise.de,12_4_www.heise.de,12_5_www.heise.de,12_6_www.heise.de,12_7_www.heise.de,12_8_www.heise.de,12_9_www.heise.de,12_10_www.heise.de
0,-442.0,-442.0,67.0,67.0,67.0,67.0,67.0,-48.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,-48.0,-48.0,67.0,-48.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-48.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0
1,28533.480000000054,41895.60000000001,4953.0999999999985,4961.72,4909.2,76269.64,9325.039999999997,71026.02,8708.36,49024.59999999999,4696.82,7322.160000000002,4664.64,4987.8600000000015,2801.139999999999,4757.86,7683.22,4607.5,2464.2,6186.199999999999,9211.399999999998,4636.22,9153.479999999998,7079.72,6758.88,10562.88,7056.799999999997,7533.199999999996,5027.5999999999985,6555.280000000002,6685.56,2645.1800000000007,9334.399999999998,4698.2,7300.06,4374.94,6731.08,7280.559999999998
2,75077.76,72775.4,52715.4,77394.92,76001.2,97054.96,74135.84,117244.36,75624.68,88488.28,26747.72,37394.68,17463.4,28799.24,15247.800000000014,26213.24,61060.92,27916.0,11855.200000000004,43945.400000000016,49396.07999999997,46931.04,36064.92,45674.96,47171.68,54985.68,39028.4,61165.08,11738.000000000005,37421.76,34945.28,14461.080000000007,73652.92,16698.8,47256.80000000001,10098.52,36944.24,37499.28
3,86411.96,127401.24000000006,95734.99999999996,75803.39999999997,78539.20000000006,188379.56,108305.39999999998,180228.62,124715.24000000006,119338.26,41913.02,128128.48,67331.92,60621.380000000194,81429.20000000001,41270.58,129092.54,44059.5,42413.4,73663.8,96851.2,55876.42,72758.98,96670.76,87790.56000000003,83403.51999999999,91597.5,100624.28,35606.6,75807.38,56487.2,34930.82,94459.88,41346.200000000084,83126.36000000004,37376.06,80079.36,84544.40000000001
4,103683.32,170063.36,116981.8,143757.08,95100.6,401665.92,188175.16,394499.72,181153.08,226985.51999999981,119833.4,238968.0,122339.48,124457.52,209507.44,121988.16,273836.96,121678.0,60930.8,124674.40000000005,150820.52,91714.28,122552.64,150083.72,96914.36,114601.52,146244.8,157233.2,60524.2,84608.12,94677.76,57830.24,146113.52,83212.6,148861.32,59818.8,100372.08,106935.24
5,333632.6000000004,406486.9,172355.5,183956.8,114598.0,426376.6,306986.19999999984,447619.7,201807.4,421018.9,128712.5999999999,500971.00000000006,151693.60000000006,227685.6,493086.5,175515.1999999998,577027.0000000002,148658.0,66777.0,187911.0,317211.59999999986,145835.9,190659.1,282604.6000000004,145301.80000000002,177654.9,225247.5,401210.3,97515.0,102378.9,137060.8000000002,86863.60000000003,322979.59999999986,96443.0,271890.6000000004,82483.7,158344.0,228786.1999999998
6,410054.32,451557.96,187848.6,199699.28,154674.2,482770.32,435396.24,464325.96,408009.48,453496.6,200024.68,798057.2,234831.72,378335.24000000034,685005.7200000001,251454.16,799700.36,272727.0,80976.4,400490.2,409247.08,154564.08,377621.44000000024,400729.32,167204.96,409698.48,398068.8,478999.36,112945.4,143712.04,347783.24,102591.52,397428.04,105404.8,387761.24,94038.64,391902.08,397383.68
7,471660.86,483563.62,248060.2,418662.08,190432.4,592748.36,523119.82,471707.02,440777.76,573636.72,336224.23999999993,912730.28,376106.48,588328.4000000004,804460.4400000002,425676.94,937735.22,502831.0,122436.4,420881.4,526109.4400000001,197578.83999999976,413716.3,477436.08,338050.0000000001,434427.24,428150.8999999999,490237.18,183076.2,255017.4,405883.72,145664.47999999998,509574.44,250557.99999999988,406926.2000000007,107185.31999999996,398772.76,472115.68000000005
8,537406.9600000004,493321.8000000001,403536.2,438197.24,402751.6,663405.52,549983.6,623305.5199999999,474982.64,691670.08,520213.16,959998.92,516413.68,786328.8400000002,944579.64,675178.68,956098.8,689714.0,184605.0,520288.6,529931.52,401346.6,476426.28,493655.96,399711.08,515686.8000000001,529958.4,528231.44,361752.6000000001,382744.24,472250.16,212309.92000000007,534387.28,391218.4,521059.56000000006,158876.23999999993,509821.64,477472.92
9,588091.24,601894.22,446848.2999999997,479585.6,423892.4,762808.6799999998,585048.54,797870.8,506536.44,782830.1199999999,730791.04,964798.52,762661.52,846122.8400000004,998697.24,797168.68,967837.16,792317.0,342002.0000000001,545061.4,554229.68,405743.6,514355.34,539640.4,419399.2,558082.66,554831.9999999999,582912.06,400133.4,400146.98,491791.52,375522.92,600409.52,427756.2,562617.38,283644.88,536221.6,498071.04
