,310_1_www.bild.de,310_3_www.bild.de,310_4_www.bild.de,310_5_www.bild.de,310_6_www.bild.de,310_7_www.bild.de,310_8_www.bild.de,310_9_www.bild.de,310_10_www.bild.de,311_1_www.bild.de,311_2_www.bild.de,311_3_www.bild.de,311_4_www.bild.de,311_5_www.bild.de,311_6_www.bild.de,311_7_www.bild.de,311_8_www.bild.de,311_9_www.bild.de,311_10_www.bild.de,312_1_www.bild.de,312_2_www.bild.de,312_3_www.bild.de,312_4_www.bild.de,312_5_www.bild.de,312_6_www.bild.de,312_7_www.bild.de,312_8_www.bild.de,312_9_www.bild.de,313_1_www.bild.de,313_2_www.bild.de,313_3_www.bild.de,313_4_www.bild.de,313_5_www.bild.de,313_6_www.bild.de,313_7_www.bild.de,313_8_www.bild.de,313_9_www.bild.de,313_10_www.bild.de
0,-442.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,-113.0,-442.0,-899.0,-442.0,-442.0,-442.0,-113.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,684.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,75906.52,93767.92,45404.08,57560.62,77164.76000000001,52413.24,88111.26,81609.68,54614.76,28784.300000000007,16899.0,28894.499999999996,31768.14,27197.04,39205.98,30323.08,31812.3,29297.9,30034.48,61550.9,60962.7,58246.40000000001,60533.7,58307.32,59948.16000000001,60756.83999999999,57999.18,57195.11999999999,9508.4,4494.4000000000015,5290.720000000004,4846.52,6276.92,2901.28,6748.28,4345.48,4887.079999999998,6420.88
2,128778.44,132183.68,99582.32,116649.36,159921.83999999994,128379.0,126498.28,121648.44,139724.4,62064.08,36805.96,74749.59999999992,62085.92,58351.84,58181.56,69550.84,67568.00000000001,64718.99999999997,62052.4,162700.99999999994,220326.40000000005,135556.6000000001,182533.0,169134.4,176332.08000000005,183080.4,193304.92,253329.8,13323.840000000002,19110.4,19452.88,17603.440000000002,21010.64,17317.16,16072.56,17660.52,20598.76,20852.4
3,425520.68,395364.4,244137.2,224035.16,443956.04,291776.9,271900.96,222845.16,342622.06,341428.76,48058.96000000001,336441.5,301360.8,332715.76,277881.74000000005,334070.6,228703.4000000001,319533.6999999998,311779.3999999998,421911.4,429228.50000000006,426457.9,428185.6,430188.96,429221.8,432995.92,431909.34,416842.92,31576.239999999994,56136.0,47002.16000000001,35199.359999999986,59068.44,56086.84,33229.32,56703.24,57634.06,57561.52
4,468437.04,470216.24,467280.64,459892.72,478943.12,472718.56000000006,478314.92,473408.72,475265.76,370423.72,124559.07999999994,365567.6,352920.92,357226.68,419733.04,364020.08,406226.0,406915.4,362188.56,526627.8,505227.6,482010.8,503987.5999999999,472827.64,505682.8000000001,485632.2,491101.68,505744.28,87069.15999999997,66379.8,72740.23999999999,54812.56,134470.39999999994,73856.36,80530.04,60000.08,102057.52,130998.08
5,532820.8,550428.2,486007.6,484349.1,585039.9999999999,513320.4000000001,504900.2,492657.2,581291.7,447510.0,265156.6,441367.0,435252.7,414702.6,446388.3,441942.6,434822.5,431458.5,434248.3,682488.0,637569.0,682236.5,718883.5,716581.9,695369.8,741007.1999999998,700128.5,685691.8,162944.6,168236.0,117428.00000000006,68032.8,176788.0,125942.8,165627.6,156969.8,168891.40000000002,167184.30000000002
6,679285.84,786457.64,559048.64,583271.96,777991.0799999997,700093.5599999999,704424.3999999998,539010.28,937898.48,517171.48,350138.88,516180.4,457485.92,460802.12,488631.68000000005,519444.84,513564.0,511119.0,527977.6799999999,721615.9999999999,715199.4000000003,864282.6,889610.4,875724.92,834077.44,878055.96,873590.52,828503.72,182879.12,196486.0000000001,177836.0,93132.6,265445.24,176293.04,185568.2,176706.72,254433.4,191896.6
7,1019409.8,1031185.04,621080.68,769544.1599999998,1058376.52,969631.82,989259.6799999996,602335.6,1150937.22,521372.92,416188.84,519473.7,518304.14,456399.6399999999,508389.12,524890.24,558815.2,562371.3,561206.52,803806.0,800135.8,905404.3,980438.1,963485.24,878821.28,891938.32,903012.48,876225.64,295320.6,236967.2,290317.6,133636.59999999974,306945.64,263360.68,286845.96,265276.96,307264.14,287874.76
8,1314865.2,1252403.0,651728.04,931034.96,1270690.88,1183546.200000001,1229442.96,670400.08,1474643.08,539814.68,426024.84,537205.0,532282.52,486214.36,549737.52,536515.5599999999,559648.0,572996.7999999999,569643.0,915333.2,875770.4,982125.8,1015597.4,992757.24,909435.0,1011471.92,952988.2,978477.8,316390.76,283592.0,309202.44,250725.27999999988,369212.64,306651.2,316931.56,292607.92,316083.04,316224.72000000003
9,1559154.24,1553706.52,773891.84,1120663.74,1574757.16,1508988.0599999996,1593497.42,794394.4400000003,1826652.44,570003.7,452813.12,593956.2,554390.74,558036.64,596067.74,616005.8799999999,604167.7,617236.1,609552.24,919923.3,898464.5,1071095.6,1119652.2,1081944.58,1068374.08,1102797.84,1056762.02,1030412.68,345827.8800000003,315675.40000000014,314418.5600000001,298320.6,385320.36,314688.92,321596.88,304662.8,350448.46,323298.62
10,1759453.0,1880817.6,907655.8,1357364.4,1810986.8,1728031.0,1923675.6,927987.4,2051362.2,639731.4,477647.8,601933.0,577141.2000000001,576643.2,678585.4000000003,624804.8,668655.0,652237.0,661025.8,972562.0,1036086.0,1113570.0,1174156.0,1146502.6,1094933.8,1211418.2,1172456.4,1056293.0,393347.4,369879.0,388862.6,317157.8,391441.8,330297.4,376060.0,326957.4,387947.4,361570.4
