,350_1_de.napster.com,350_2_de.napster.com,350_3_de.napster.com,350_4_de.napster.com,350_5_de.napster.com,350_6_de.napster.com,350_7_de.napster.com,350_8_de.napster.com,350_10_de.napster.com,351_1_de.napster.com,351_2_de.napster.com,351_3_de.napster.com,351_4_de.napster.com,351_5_de.napster.com,351_6_de.napster.com,351_7_de.napster.com,351_8_de.napster.com,351_9_de.napster.com,351_10_de.napster.com,352_1_de.napster.com,352_2_de.napster.com,352_3_de.napster.com,352_4_de.napster.com,352_5_de.napster.com,352_6_de.napster.com,352_7_de.napster.com,352_8_de.napster.com,352_9_de.napster.com,352_10_de.napster.com,353_1_de.napster.com,353_2_de.napster.com,353_3_de.napster.com,353_4_de.napster.com,353_5_de.napster.com,353_6_de.napster.com,353_7_de.napster.com,353_8_de.napster.com,353_9_de.napster.com,353_10_de.napster.com
0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2190.0,-442.0
1,6208.639999999998,4724.46,5136.5999999999985,4702.7,5280.72,4883.88,5373.84,5631.44,4301.68,3955.08,3606.0,4009.0800000000013,1973.36,3624.76,3598.44,4131.9,3843.54,3689.46,3597.36,1612.6999999999996,-1338.44,1484.46,1577.84,1583.76,2148.7999999999984,1619.72,1357.34,1592.64,1536.84,1141.8000000000004,1355.76,1346.28,4107.24,1335.6999999999996,2935.4,1340.6,1041.7799999999997,565.8999999999999,1472.9800000000002
2,11445.76,28712.0,14945.000000000005,16595.800000000007,18276.16,17000.16,9250.600000000006,9615.400000000003,17770.2,5145.680000000001,4999.0,8496.56,5462.199999999999,6340.48,6817.480000000002,8291.6,6564.52,6021.2,6085.28,5605.76,453.36,3622.320000000001,1203.48,1289.7200000000005,5448.56,2914.5999999999995,4041.88,1419.0800000000006,4181.24,5060.84,4045.32,4065.96,4613.68,3998.6000000000013,5254.16,3848.2,5475.280000000002,4314.32,4597.6799999999985
3,36749.08,74006.76000000001,34958.000000000015,28923.7,31060.48,46955.99999999997,31488.16000000006,29015.52,65103.36000000002,7847.399999999998,9842.0,21577.04000000002,9651.68,18051.240000000005,16381.380000000005,25699.1,11355.600000000002,14720.44,16912.96,6400.54,1925.3,4793.26,3760.08,3837.12,6308.98,3597.44,5328.18,3935.64,6064.0800000000045,6794.840000000005,4460.240000000002,5543.520000000001,8572.68,4094.54,6043.4000000000015,4097.72,6189.0999999999985,7411.58,5425.6399999999985
4,52087.75999999999,168184.08000000002,64736.60000000003,89569.80000000006,117846.08,123847.64,93106.76000000004,60607.24,162485.56,24304.72,22510.0,27759.8,25093.76,25651.96,23740.08,27691.2,24675.72,23259.28,26027.64,9085.6,2635.28,6887.840000000005,4607.44,4168.6399999999985,9274.199999999992,5382.04,3806.12,4544.959999999999,8376.44,9983.2,5421.24,4661.72,18075.2,5004.6799999999985,7536.48,4728.24,8134.119999999999,16997.4,8409.88
5,124685.99999999993,305091.10000000003,198346.0,167023.0,236882.19999999995,191306.6,154447.6,154962.40000000002,259229.4,39257.000000000015,32077.0,77080.9,43256.99999999999,48719.29999999999,40717.60000000001,64627.0,28328.5,54309.2,44528.8,20429.400000000005,4650.9,7940.299999999997,4686.4000000000015,5305.2,22773.4,6989.5999999999985,5787.300000000001,5140.6,17492.399999999998,18935.0,6581.999999999999,8621.4,23974.4,7089.7,18215.8,6031.0,18067.0,23699.6,18161.1
6,206853.52,365820.96,303581.2000000001,249235.00000000003,368163.28,289845.96,230871.04000000012,265471.60000000003,374988.00000000006,76031.84,36684.0,100400.36,62815.40000000001,82764.59999999998,81166.24000000003,172337.2,72409.16,78756.56,82002.92000000011,24519.199999999993,3791.64,17660.72,6311.6,5585.959999999997,34991.87999999998,10486.12,9206.36,6112.439999999991,21573.24,26515.160000000018,8559.56,8664.72,32185.200000000008,10029.44,25704.199999999993,8093.08,24857.12,27113.16,26043.08
7,322690.56,370036.22,447939.5999999999,328493.0000000001,491879.8,403813.8,321714.8800000001,355950.36,482224.4,105542.98000000004,71424.0,175508.16000000006,116175.4,103938.61999999997,119157.78,180157.1,126990.65999999992,133791.62000000005,115221.76,28449.9,5540.440000000001,22243.56,8444.880000000001,7157.120000000001,42025.62,12126.199999999995,11420.54,7411.679999999993,34983.28,52499.24,10006.600000000013,15442.280000000008,50447.92,13135.059999999998,26423.56,7923.399999999998,27167.1,54890.17999999998,26047.76
8,436611.2,401475.2,529114.0,398791.4,638227.6799999999,506311.72,393392.2,457002.76000000007,573175.6,133972.2,102093.0,180445.84,158212.91999999998,124888.51999999995,169400.92,199745.19999999992,171324.08,178548.68,168383.64,48093.16,7698.36,25656.92,8061.920000000001,8554.28,83992.91999999987,12626.08,12880.72,8449.92,52524.84000000007,79293.24,17899.600000000002,18581.36,68639.72,13260.320000000007,30276.44,13809.4,43654.92000000003,77965.87999999999,28640.4
9,543568.3599999999,477408.1,583438.2,485190.6,762004.2799999998,620378.88,469472.6,559335.7200000001,685695.48,159392.58,132186.0,196280.7,178199.24,167731.08,179951.54,245606.7,176368.32,184815.26,181284.76,82453.6,7644.98,42365.00000000005,12460.800000000007,9389.799999999992,127037.22,14117.48,15112.74,9116.199999999997,91014.04,117249.44,25816.96,24900.16,106126.84,16428.96,49471.96000000001,18099.68,81285.20000000001,93566.96,63543.40000000001
