,index,1_10_www.google.com,1_1_www.google.com,1_2_www.google.com,1_3_www.google.com,1_4_www.google.com,1_5_www.google.com,1_6_www.google.com,1_7_www.google.com,1_8_www.google.com,1_9_www.google.com,2_10_www.google.com,2_1_www.google.com,2_2_www.google.com,2_3_www.google.com,2_4_www.google.com,2_5_www.google.com,2_6_www.google.com,2_7_www.google.com,2_8_www.google.com,3_10_www.google.com,3_2_www.google.com,3_5_www.google.com,3_6_www.google.com,3_8_www.google.com,3_9_www.google.com,4_10_www.google.com,4_1_www.google.com,4_2_www.google.com,4_3_www.google.com,4_4_www.google.com,4_5_www.google.com,4_6_www.google.com,4_7_www.google.com,4_8_www.google.com,4_9_www.google.com
0,1,0.0,-442.0,67.0,-48.0,67.0,67.0,-442.0,0.0,-48.0,67.0,67.0,67.0,-442.0,-48.0,-442.0,-48.0,-442.0,67.0,67.0,0.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,-115.0,67.0,-442.0,67.0,67.0,67.0
1,2,-146.39999999999995,1330.48,1704.68,109.72,893.9200000000003,1553.6,1330.8,-46.08,-176.52000000000004,1755.0,599.6000000000003,2548.8,2427.88,1667.3600000000022,2373.600000000001,4657.66,2633.02,1545.02,582.28,626.5,574.52,952.6800000000003,2664.7,1956.14,1497.9600000000007,1749.08,1422.12,335.88,102.51999999999941,317.16,1567.14,1327.32,510.96,1488.14,1602.6
2,3,-235.2,533.76,844.5200000000003,1543.8,1274.76,708.7200000000003,537.44,-236.16,1518.16,1350.0,5506.4000000000015,7244.2,6556.96,7148.88,5996.4,8125.559999999998,6572.08,4256.160000000004,1095.12,3262.0,787.0400000000002,3335.92,6573.36,3851.24,4609.24,1288.88,1495.9600000000012,255.76,1296.92,47.240000000000116,3024.1200000000013,525.84,1984.48,2584.32,688.36
3,4,-88.80000000000005,4478.44,2823.7200000000007,851.3800000000001,2290.7599999999984,4681.56,4178.079999999998,1509.9600000000007,680.4399999999998,2534.0,7034.599999999998,15995.800000000005,15117.88,15081.32,9101.600000000002,14646.46,14662.24,4429.800000000001,2293.3199999999993,6860.5,4026.0400000000022,9557.08,11268.800000000005,6811.86,7139.76,2477.5999999999995,4336.6,2009.3,2466.14,1738.48,4213.18,4468.96,3429.72,4570.42,4719.84
4,5,-212.40000000000012,4500.68,4637.52,2308.48,4687.48,6206.08,4444.36,577.7599999999999,4571.32,4728.0,16299.6,19589.4,17364.08,17098.6,16771.600000000002,23053.24,16818.84,6021.7199999999975,5742.32,13582.0,2779.5599999999995,15177.199999999986,26615.28,15759.68,8566.159999999996,4439.28,6998.04,1132.52,4767.08,3145.44,10056.56,4486.12,5053.84,7037.88,6479.040000000001
5,6,1692.5,6710.4,6675.4,4485.1,4289.799999999998,8291.799999999994,6924.6,3339.399999999997,4540.4,7212.0,35296.0,32901.0,33874.8,34408.399999999994,23457.0,27330.6,34165.3,15340.6,7940.6,27005.0,7002.499999999999,27950.8,29054.1,19182.3,12704.4,7177.6,5878.799999999998,2845.9,6767.1,4944.8,10599.799999999996,6774.6,7571.800000000002,10126.999999999996,6249.6
6,7,470.8000000000022,8200.52,7992.28,7153.52,6036.88,10054.68,8385.36,4380.279999999998,6109.56,7207.0,34859.19999999997,77208.4,35931.84,34077.04,41646.60000000001,42678.76,34607.039999999986,16577.92,9670.600000000008,34106.0,12982.400000000007,35518.76,55501.880000000056,31420.76,27153.68,7684.600000000004,12235.52,5009.88,8375.400000000001,7441.16,29275.44,5913.2800000000025,11145.04,12112.04,11656.0
7,8,4675.299999999998,11883.000000000002,12808.64,7200.38,8576.279999999999,13628.36,8479.8,6642.76,6935.800000000001,7397.0,49485.39999999986,90601.2,78810.87999999999,46064.31999999998,41248.6,49969.38,41983.22,18083.06,16411.360000000004,81159.0,17843.199999999993,79604.48,79393.82,38053.35999999999,25589.2,10460.44,19746.400000000005,7549.28,12427.56,6698.679999999998,27195.34,11788.84,27454.88,28208.34,12532.76
8,9,4207.800000000001,12301.32,21253.199999999968,7782.639999999998,10077.36,13915.719999999998,12592.68,6481.04,8223.759999999998,12564.0,88160.4,94120.6,85197.48,93566.64,47698.4,90956.60000000002,89718.88,22829.60000000008,18196.56,87505.0,19236.36,99772.63999999993,87680.96,76425.71999999996,65462.24,11985.320000000003,28110.24,7247.3200000000015,29189.32,12575.0,26047.480000000003,12436.16,25763.36,26459.96,28677.92
9,10,6624.4,42569.47999999999,82710.44,12623.28,10378.599999999997,74937.11999999991,12721.92,12621.28,9847.88,29224.0,88364.40000000002,93553.6,91308.92,94408.80000000003,97048.2,101749.80000000003,93262.16,33739.18,20535.84,86829.5,36674.98,133133.16,85353.54,88841.94,69637.52,26820.96,26615.48,10965.12,27930.42,12849.64,32717.039999999994,29392.08,24073.72,27546.06,27362.52
